startDate,endDate,value
2026-08-12 13:52:00 +0900,2026-08-12 15:14:00 +0900,HKCategoryValueSleepAnalysisInBed
2026-08-12 14:00:00 +0900,2026-08-12 14:45:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-12 14:45:00 +0900,2026-08-12 15:10:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-13 00:52:00 +0900,2026-08-13 09:14:00 +0900,HKCategoryValueSleepAnalysisInBed
2026-08-13 01:00:00 +0900,2026-08-13 02:00:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-13 02:00:00 +0900,2026-08-13 02:45:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-13 02:45:00 +0900,2026-08-13 03:15:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-13 03:15:00 +0900,2026-08-13 03:45:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-13 03:45:00 +0900,2026-08-13 04:30:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-13 04:30:00 +0900,2026-08-13 05:30:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-13 05:30:00 +0900,2026-08-13 06:00:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-13 06:00:00 +0900,2026-08-13 07:00:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-13 07:00:00 +0900,2026-08-13 07:30:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-13 07:30:00 +0900,2026-08-13 08:00:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-13 08:00:00 +0900,2026-08-13 09:00:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-13 09:00:00 +0900,2026-08-13 09:10:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-13 23:32:00 +0900,2026-08-14 06:54:00 +0900,HKCategoryValueSleepAnalysisInBed
2026-08-13 23:40:00 +0900,2026-08-14 00:40:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-14 00:40:00 +0900,2026-08-14 01:25:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-14 01:25:00 +0900,2026-08-14 02:25:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-14 02:25:00 +0900,2026-08-14 03:10:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-14 03:10:00 +0900,2026-08-14 04:10:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-14 04:10:00 +0900,2026-08-14 04:55:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-14 04:55:00 +0900,2026-08-14 05:25:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-14 05:25:00 +0900,2026-08-14 06:25:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-14 06:25:00 +0900,2026-08-14 06:50:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-15 02:42:00 +0900,2026-08-15 11:24:00 +0900,HKCategoryValueSleepAnalysisInBed
2026-08-15 02:50:00 +0900,2026-08-15 03:35:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-15 03:35:00 +0900,2026-08-15 04:20:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-15 04:20:00 +0900,2026-08-15 05:20:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-15 05:20:00 +0900,2026-08-15 06:05:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-15 06:05:00 +0900,2026-08-15 06:35:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-15 06:35:00 +0900,2026-08-15 07:35:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-15 07:35:00 +0900,2026-08-15 08:05:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-15 08:05:00 +0900,2026-08-15 08:35:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-15 08:35:00 +0900,2026-08-15 09:20:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-15 09:20:00 +0900,2026-08-15 10:20:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-15 10:20:00 +0900,2026-08-15 11:20:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-16 03:12:00 +0900,2026-08-16 11:44:00 +0900,HKCategoryValueSleepAnalysisInBed
2026-08-16 03:20:00 +0900,2026-08-16 04:05:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-16 04:05:00 +0900,2026-08-16 05:05:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-16 05:05:00 +0900,2026-08-16 06:05:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-16 06:05:00 +0900,2026-08-16 07:05:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-16 07:05:00 +0900,2026-08-16 07:35:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-16 07:35:00 +0900,2026-08-16 08:20:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-16 08:20:00 +0900,2026-08-16 09:20:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-16 09:20:00 +0900,2026-08-16 09:50:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-16 09:50:00 +0900,2026-08-16 10:50:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-16 10:50:00 +0900,2026-08-16 11:35:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-16 11:35:00 +0900,2026-08-16 11:40:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-17 00:22:00 +0900,2026-08-17 07:44:00 +0900,HKCategoryValueSleepAnalysisInBed
2026-08-17 00:30:00 +0900,2026-08-17 01:15:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-17 01:15:00 +0900,2026-08-17 02:15:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-17 02:15:00 +0900,2026-08-17 03:15:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-17 03:15:00 +0900,2026-08-17 03:45:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-17 03:45:00 +0900,2026-08-17 04:30:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-17 04:30:00 +0900,2026-08-17 05:30:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-17 05:30:00 +0900,2026-08-17 06:15:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-17 06:15:00 +0900,2026-08-17 06:45:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-17 06:45:00 +0900,2026-08-17 07:15:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-17 07:15:00 +0900,2026-08-17 07:40:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
