startDate,endDate,value
2026-08-07 07:05:00 +0900,2026-08-07 07:35:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-07 07:35:00 +0900,2026-08-07 07:36:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-07 23:44:00 +0900,2026-08-08 07:45:00 +0900,HKCategoryValueSleepAnalysisInBed
2026-08-07 23:52:00 +0900,2026-08-08 00:22:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-08 00:22:00 +0900,2026-08-08 00:52:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-08 00:52:00 +0900,2026-08-08 01:37:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-08 01:37:00 +0900,2026-08-08 02:37:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-08 02:37:00 +0900,2026-08-08 03:37:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-08 03:37:00 +0900,2026-08-08 04:22:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-08 04:22:00 +0900,2026-08-08 05:22:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-08 05:22:00 +0900,2026-08-08 06:22:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-08 06:22:00 +0900,2026-08-08 07:22:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-08 07:22:00 +0900,2026-08-08 07:41:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-08 23:44:00 +0900,2026-08-09 08:00:00 +0900,HKCategoryValueSleepAnalysisInBed
2026-08-08 23:52:00 +0900,2026-08-09 00:37:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-09 00:37:00 +0900,2026-08-09 01:37:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-09 01:37:00 +0900,2026-08-09 02:07:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-09 02:07:00 +0900,2026-08-09 03:07:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-09 03:07:00 +0900,2026-08-09 03:52:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-09 03:52:00 +0900,2026-08-09 04:52:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-09 04:52:00 +0900,2026-08-09 05:37:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-09 05:37:00 +0900,2026-08-09 06:37:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-09 06:37:00 +0900,2026-08-09 07:37:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-09 07:37:00 +0900,2026-08-09 07:56:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-09 23:32:00 +0900,2026-08-10 07:32:00 +0900,HKCategoryValueSleepAnalysisInBed
2026-08-09 23:40:00 +0900,2026-08-10 00:25:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-10 00:25:00 +0900,2026-08-10 01:25:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-10 01:25:00 +0900,2026-08-10 02:10:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-10 02:10:00 +0900,2026-08-10 02:40:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-10 02:40:00 +0900,2026-08-10 03:10:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-10 03:10:00 +0900,2026-08-10 03:40:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-10 03:40:00 +0900,2026-08-10 04:25:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-10 04:25:00 +0900,2026-08-10 04:55:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-10 04:55:00 +0900,2026-08-10 05:40:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-10 05:40:00 +0900,2026-08-10 06:40:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-10 06:40:00 +0900,2026-08-10 07:10:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-10 07:10:00 +0900,2026-08-10 07:28:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
