time_s,Fp1,Cz,O1
0.695312,18.7162,48.4089,-11.2544
0.703125,2.5502,40.2901,-28.3171
0.710938,-13.5015,32.4837,-39.7135
0.718750,-19.5202,27.4944,-35.4498
0.726562,-15.8712,25.4397,-25.5588
0.734375,-14.7020,23.8140,-16.1624
0.742188,-17.0735,20.7922,-5.6932
0.750000,-10.0759,16.7280,4.3067
0.757812,0.6322,13.5555,14.6834
0.765625,5.2928,12.8424,19.3872
0.773438,14.6642,12.2521,10.6324
0.781250,24.4049,9.9616,-3.8503
0.789062,18.1731,8.4878,-18.0278
0.796875,6.9317,5.5470,-31.9979
0.804688,2.1023,-1.9138,-37.7762
0.812500,-2.6877,-5.9051,-33.1215
0.820312,-6.0244,-3.5586,-24.2743
0.828125,-6.5621,-4.6357,-11.9755
0.835938,-7.0549,-9.2397,1.9589
0.843750,-2.1250,-10.2651,11.8836
0.851562,5.7323,-9.2736,15.5961
0.859375,10.0046,-6.9064,15.4664
0.867188,15.3925,-2.2091,14.2803
0.875000,20.7593,-0.3630,6.4775
0.882812,21.1628,-1.2956,-10.7716
0.890625,19.9385,-0.1110,-25.6041
0.898438,15.8588,1.5621,-34.1913
0.906250,7.2498,2.6072,-42.0864
0.914062,-0.4765,5.3016,-42.9379
0.921875,-5.2372,8.9618,-32.8929
0.929688,-6.1805,12.5350,-18.9068
0.937500,-4.1789,14.6474,-6.3639
0.945312,-3.1586,15.0873,1.5699
0.953125,1.3364,19.2062,9.6173
0.960938,11.7634,26.5976,17.0876
0.968750,20.2207,29.6348,6.8201
0.976562,23.7495,31.1264,-14.5352
0.984375,22.5879,36.9520,-25.0335
0.992188,18.8088,41.2595,-34.6732
1.000000,17.9351,41.8157,-47.3239
1.007812,13.1741,44.9392,-43.8545
1.015625,2.3517,49.1716,-31.3602
1.023438,1.5245,50.8022,-19.8318
1.031250,8.0786,54.1280,1.7829
1.039062,9.2088,60.7104,23.2310
1.046875,13.0017,66.3536,26.7764
1.054688,19.0812,69.0931,20.2850
1.062500,19.8628,69.4351,10.9456
1.070312,26.0241,70.6982,-3.1399
1.078125,35.0158,76.3008,-16.6615
1.085938,33.8138,82.5441,-23.7757
1.093750,30.6499,86.1152,-27.0872
1.101562,25.5506,90.7845,-30.3205
1.109375,8.8403,96.3490,-26.0069
1.117188,-4.5520,98.5529,-10.0888
1.125000,-4.4542,99.5736,1.9838
1.132812,-4.4289,101.9611,6.7705
1.140625,-6.9199,103.3580,15.9877
1.148438,-2.4522,103.5788,19.0052
1.156250,8.6886,103.5439,7.2068
1.164062,18.8369,102.5313,-5.4925
1.171875,23.1640,102.9817,-18.7730
1.179688,25.0552,106.2299,-34.1244
1.187500,25.6490,106.6562,-37.2021
1.195312,18.6267,102.1331,-30.9757
1.203125,7.5685,99.3645,-25.0347
1.210938,0.4713,100.0442,-13.3607
1.218750,-4.8578,97.9995,0.0110
1.226562,-6.9927,93.1481,6.4405
1.234375,-3.4600,89.4146,11.4402
1.242188,-0.2992,84.9286,13.6901
1.250000,5.0741,79.9537,5.6727
1.257812,16.6521,79.0582,-7.1496
1.265625,24.0143,80.3219,-17.7979
1.273438,23.8251,79.0567,-25.6592
1.281250,23.0095,74.8741,-27.4357
1.289062,21.0209,68.3134,-22.8731
1.296875,18.0788,61.1813,-19.6581
1.304688,15.9816,54.9980,-17.7421
1.312500,9.7255,48.3126,-8.4086
1.320312,0.6545,42.2686,4.4497
1.328125,-2.7094,38.1906,9.3733
1.335938,0.3074,33.9834,6.7647
1.343750,4.7781,30.8170,1.3812
1.351562,8.7314,28.8250,-4.5647
1.359375,14.6632,24.3649,-10.7631
1.367188,22.8999,19.9088,-22.2755
1.375000,25.9086,17.3927,-33.7620
1.382812,20.8748,13.4466,-31.1441
1.390625,14.0456,10.7776,-19.9201
1.398438,7.2271,9.6305,-10.1883
1.406250,2.0046,2.9735,1.9768
1.414062,1.6306,-4.8189,14.1204
1.421875,-0.4239,-5.5012,21.5292
1.429688,-6.4180,-3.9492,25.2266
1.437500,-7.4023,-4.5731,20.0973
1.445312,-3.9475,-5.7009,8.4474
1.453125,-0.5776,-8.7802,-1.2831
1.460938,5.3361,-13.7224,-11.6695
1.468750,10.3955,-17.7170,-19.5027
1.476562,11.7000,-21.3263,-20.4527
1.484375,14.8801,-25.0283,-22.5900
1.492188,17.8327,-26.7635,-20.0718
1.500000,15.3596,-26.2853,-2.9759
1.507812,10.4076,-26.3323,15.1016
1.515625,3.4504,-28.0681,22.6418
1.523438,-3.5060,-29.8043,23.0174
1.531250,-1.9211,-31.7904,18.6168
1.539062,5.0291,-32.7180,10.2378
1.546875,5.6743,-28.3762,-1.0266
1.554688,2.3861,-24.4786,-9.9131
1.562500,5.7629,-28.3544,-14.3361
1.570312,15.0944,-31.5787,-22.0513
1.578125,20.9821,-29.1068,-24.9283
1.585938,21.2339,-29.1549,-12.3563
1.593750,19.9401,-31.0128,-2.2315
1.601562,13.9502,-28.1624,1.1992
1.609375,0.8403,-22.0954,13.0236
1.617188,-7.7201,-14.8168,21.2491
1.625000,-4.1383,-8.5413,16.7012
1.632812,1.5363,-5.8368,10.5438
1.640625,2.8279,-3.7599,-1.3413
1.648438,6.9815,-1.4550,-18.9880
1.656250,16.3390,0.8199,-29.5559
1.664062,22.4261,6.6583,-33.3934
1.671875,22.0043,12.5997,-28.9626
1.679688,21.0043,15.3259,-15.7408
1.687500,21.2662,21.8663,-5.1647
1.695312,20.8263,31.1514,4.9018
1.703125,22.0962,35.4812,16.0918
1.710938,22.2890,39.4225,17.3309
1.718750,13.8364,47.3387,13.0614
1.726562,3.9005,53.8062,7.9224
1.734375,4.2077,56.3249,-3.0372
1.742188,9.5714,55.1250,-13.3072
1.750000,14.3456,50.2709,-22.6317
1.757812,22.7284,46.9133,-33.0102
1.765625,30.2284,48.9324,-31.2237
1.773438,30.0405,52.8271,-21.3419
1.781250,28.3021,54.9652,-15.5642
1.789062,26.8562,55.2996,-5.2824
1.796875,17.7075,54.6075,7.7929
1.804688,3.7485,55.0381,13.4182
1.812500,-3.5226,57.7905,15.7214
1.820312,-2.2147,58.6404,10.6249
1.828125,0.5035,56.2687,-5.0276
1.835938,0.7537,57.1225,-16.5911
1.843750,4.3914,59.6535,-20.3812
1.851562,14.7460,55.6372,-22.6480
1.859375,21.1838,50.4121,-22.3133
1.867188,19.7902,50.8634,-19.7080
1.875000,22.3317,49.9210,-12.9447
1.882812,28.6924,46.0859,-0.2371
1.890625,29.2922,45.5249,10.7616
1.898438,27.2506,44.5015,17.1698
1.906250,24.2218,39.7397,19.8448
1.914062,17.1821,36.5352,15.2038
1.921875,14.3845,35.6760,5.9852
1.929688,17.6189,33.2249,-5.7928
1.937500,15.0900,28.3144,-20.8327
1.945312,9.0094,23.6834,-28.1590
1.953125,13.7529,21.7718,-24.3946
1.960938,29.0361,19.0384,-20.9562
1.968750,39.0326,12.9979,-13.4891
1.976562,36.6038,8.7706,5.1093
1.984375,32.8703,6.4591,17.5924
1.992188,31.1768,1.8546,15.1097
2.000000,20.9550,-1.3367,14.9803
2.007812,7.6967,-1.3188,21.9047
2.015625,2.6186,-2.2792,20.5876
2.023438,-0.4010,-3.1601,8.0473
2.031250,-2.8134,-3.7693,-5.7004
2.039062,0.6184,-8.8215,-14.4500
2.046875,6.5004,-16.4449,-14.8988
2.054688,14.5645,-20.8783,-8.8013
2.062500,22.3036,-21.9476,-2.8622
2.070312,24.6716,-22.6999,3.7067
2.078125,30.1517,-25.5904,14.9646
2.085938,35.1741,-30.2544,26.3781
2.093750,26.2926,-34.1256,31.0193
2.101562,17.5655,-37.4089,27.2826
2.109375,16.3717,-41.1338,17.8021
2.117188,6.8015,-42.6394,5.1280
2.125000,-2.1745,-40.7897,-8.7965
2.132812,3.5776,-40.4170,-17.0135
2.140625,11.6729,-44.6112,-14.7828
2.148438,17.3286,-47.7784,-7.7320
2.156250,24.7055,-45.2967,-0.1402
2.164062,29.5527,-42.5639,6.7517
2.171875,31.6013,-42.7277,11.4582
2.179688,30.8801,-40.8587,18.8252
2.187500,28.1563,-38.6685,25.5550
2.195312,28.8393,-41.0946,19.4219
2.203125,27.7646,-42.2725,5.9068
2.210938,21.7803,-38.7818,-5.5090
2.218750,17.9285,-37.6132,-16.7207
2.226562,15.0221,-39.0976,-22.7763
2.234375,15.8607,-37.9339,-23.0346
2.242188,24.9283,-35.3868,-23.8295
2.250000,28.4883,-32.9952,-17.5917
2.257812,23.8881,-31.3467,-5.6738
2.265625,23.5756,-32.7873,0.3944
2.273438,23.6478,-32.5385,8.1526
2.281250,21.1284,-27.3310,16.8888
2.289062,21.1872,-26.1346,14.1172
2.296875,18.5102,-29.2046,10.5400
2.304688,12.6754,-25.2525,9.8700
2.312500,9.3735,-17.2662,-2.5944
2.320312,6.7478,-14.3084,-17.3412
2.328125,5.8327,-12.3647,-19.0464
2.335938,8.3030,-7.8447,-15.9433
2.343750,13.9256,-3.7839,-13.6262
2.351562,23.8157,-0.7569,-5.1409
2.359375,28.3411,0.6544,10.5587
2.367188,23.7329,0.7872,21.2179
2.375000,22.2851,2.3733,18.9346
2.382812,21.0768,3.3438,17.0935
2.390625,14.4457,2.3812,20.7588
2.398438,13.4737,3.9045,13.8547
2.406250,14.3633,8.1593,-0.5294
2.414062,7.2569,12.6483,-8.4154
2.421875,1.2278,18.1324,-14.8230
2.429688,-0.5947,23.0453,-18.8398
2.437500,-2.0979,25.5473,-12.9369
2.445312,-0.2111,27.8673,-4.9786
2.453125,1.1783,29.9536,0.5267
2.460938,-0.0974,30.6909,6.5901
2.468750,3.8454,33.3525,10.3892
2.476562,11.2340,38.5252,12.1499
2.484375,13.4213,40.6755,13.0378
2.492188,8.7381,38.3375,9.2640
2.500000,1.2488,36.8257,0.7194
2.507812,-3.3602,38.3001,-8.7536
2.515625,-6.2775,39.8657,-14.0507
2.523438,-11.3919,39.9700,-13.7724
2.531250,-13.5940,38.5951,-13.3414
2.539062,-9.5766,37.0809,-13.0810
2.546875,-4.2979,37.8535,-9.1373
2.554688,-0.4655,39.0122,-1.8445
2.562500,3.5103,38.4043,7.6977
2.570312,9.5186,38.4182,12.2311
2.578125,13.8420,38.1815,6.4796
2.585938,10.0297,36.8015,1.2598
2.593750,1.8459,37.1370,-0.3024
2.601562,-4.2537,34.4586,-7.5559
2.609375,-8.3425,27.0131,-16.7223
2.617188,-8.6372,26.0758,-21.4759
2.625000,-7.0761,29.7344,-22.5325
2.632812,-10.3197,25.0763,-16.7838
2.640625,-14.7308,18.5511,-6.3438
2.648438,-13.2579,19.7489,2.2291
2.656250,-5.7445,20.9359,7.3309
2.664062,3.7176,17.1640,7.1931
2.671875,7.3391,12.4155,5.4904
2.679688,5.1286,8.2006,6.3904
2.687500,4.7809,5.6416,4.5038
2.695312,3.1022,4.7457,1.2170
2.703125,-3.0532,2.0563,-1.0023
2.710938,-4.8900,-2.2867,-8.0148
2.718750,-0.3492,-4.7408,-12.4672
2.726562,2.3964,-6.0243,-8.2813
2.734375,-0.8141,-9.2739,-5.6059
2.742188,-2.8384,-12.7593,-1.7496
2.750000,6.3591,-14.0308,7.7939
2.757812,18.5162,-16.0559,11.3502
2.765625,20.0259,-18.8942,8.5479
2.773438,17.9448,-18.9448,5.5929
2.781250,17.7035,-18.5228,-0.3334
2.789062,13.2028,-18.9647,-7.5387
2.796875,7.6649,-19.0548,-15.0003
2.804688,2.0156,-23.4475,-20.2670
2.812500,-6.9024,-30.3998,-13.3390
2.820312,-10.2065,-31.9316,-1.4992
2.828125,-6.9218,-31.5266,0.4526
2.835938,-5.9553,-32.5695,-2.6036
2.843750,-3.7263,-31.3276,-1.9623
2.851562,1.6439,-30.0834,5.1530
2.859375,3.6007,-29.1699,12.3174
2.867188,3.6258,-26.4867,5.0886
2.875000,5.2409,-27.3195,-6.9707
2.882812,7.6231,-30.3305,-6.4787
2.890625,10.1127,-29.7162,-5.1629
2.898438,10.2368,-27.9974,-8.3214
2.906250,4.7549,-25.2631,-7.3435
2.914062,-6.4286,-23.4190,-8.6351
2.921875,-14.3120,-27.7796,-6.5091
2.929688,-7.4834,-29.9534,8.3775
2.937500,4.6030,-25.8359,16.9055
2.945312,6.5258,-24.9344,13.8696
2.953125,6.4028,-24.6696,11.9292
2.960938,11.5312,-21.0627,6.1873
2.968750,14.0702,-19.1183,2.0568
2.976562,16.7323,-14.6639,7.3636
2.984375,23.2513,-8.1582,3.6968
2.992188,21.9650,-7.3764,-6.5157
3.000000,10.6717,-5.4381,-4.5742
3.007812,2.6931,0.9435,-3.5535
3.015625,1.5188,4.9717,-8.6999
3.023438,0.5970,9.7758,-2.8806
3.031250,-0.1228,14.2931,8.4537
3.039062,0.3090,12.9532,14.1206
3.046875,-0.7081,12.6077,15.8435
3.054688,1.6312,14.7426,11.0580
3.062500,7.7477,15.1264,4.5204
3.070312,5.6687,17.4605,1.6108
3.078125,-0.5531,18.1676,-6.3198
3.085938,2.1674,13.6339,-14.4445
3.093750,5.9717,12.4213,-13.2038
3.101562,4.3634,14.4986,-11.9156
3.109375,2.0804,15.4414,-9.7340
3.117188,-3.4029,18.6273,0.7454
3.125000,-8.3585,20.7471,8.3724
3.132812,-8.8640,19.4653,10.5122
3.140625,-13.0315,20.5463,14.0016
3.148438,-13.9708,20.5316,11.3843
3.156250,-5.7109,16.9935,2.7419
3.164062,-3.2658,18.0518,-2.4558
3.171875,-4.0980,21.1331,-7.1958
3.179688,2.3533,17.7598,-12.1638
3.187500,6.1300,13.0410,-12.5362
3.195312,4.1820,13.7248,-9.8986
3.203125,-0.1762,16.1633,-3.7235
3.210938,-7.0203,16.4087,3.8881
3.218750,-7.8274,16.8226,7.2587
3.226562,-7.5933,18.3743,11.0548
3.234375,-14.6773,16.8687,16.3894
3.242188,-13.1578,12.4498,16.3325
3.250000,-1.8822,10.1572,12.8741
3.257812,4.3537,9.6696,8.0721
3.265625,8.8457,8.5657,0.8750
3.273438,10.6814,7.2184,-4.8946
3.281250,9.0836,5.0443,-9.1205
3.289062,13.7855,2.9589,-9.0609
3.296875,14.0971,1.9334,-1.0822
3.304688,5.2933,-0.5560,2.5672
3.312500,2.8679,-2.6678,-0.9412
3.320312,0.1517,-1.6582,2.5421
3.328125,-6.0262,-2.4249,8.3798
3.335938,-1.4747,-6.5159,6.6452
3.343750,2.7057,-9.7850,3.9011
3.351562,-1.9250,-11.9660,1.8888
3.359375,-2.7193,-11.3904,-1.5689
3.367188,-1.9247,-6.5898,-4.6375
3.375000,-1.0414,-4.8756,-7.4368
3.382812,2.8653,-9.5557,-5.3761
3.390625,-1.4942,-14.1085,-0.0820
3.398438,-9.5348,-16.0295,0.9024
3.406250,-9.2643,-16.7421,7.4618
3.414062,-9.7374,-16.8309,19.4043
3.421875,-12.5540,-18.6876,17.8339
3.429688,-12.3367,-19.8949,11.8339
3.437500,-13.0197,-15.9938,15.4794
3.445312,-10.3030,-13.0476,14.4477
3.453125,-4.6932,-14.9560,6.7348
3.460938,-4.9867,-15.0970,1.7519
3.468750,-3.5363,-15.5550,-5.0672
3.476562,1.1757,-22.2936,-8.7347
3.484375,-1.8089,-27.1702,-2.3955
3.492188,-3.2553,-24.9829,4.5885
3.500000,4.6473,-22.5809,10.2873
3.507812,6.4292,-20.8787,16.6694
3.515625,-1.1195,-17.7776,18.9889
3.523438,-3.4211,-16.5768,20.8363
3.531250,-1.2675,-16.5366,22.6828
3.539062,-4.2238,-15.2855,16.7373
3.546875,-5.4271,-14.8733,6.7423
3.554688,-0.1475,-15.3967,-1.1719
3.562500,-0.5494,-16.0387,-7.7615
3.570312,-5.4373,-17.0859,-10.9372
3.578125,-3.6359,-16.4342,-10.9072
3.585938,-3.0563,-13.7105,-9.0850
3.593750,-7.2682,-10.5280,-1.2912
3.601562,-8.1035,-6.9400,10.5933
3.609375,-11.1409,-5.4985,18.1523
3.617188,-16.2945,-7.1381,18.6253
3.625000,-15.7025,-5.7244,14.0466
3.632812,-17.1070,0.6253,7.9927
3.640625,-18.8922,5.5152,3.5550
3.648438,-12.2803,6.8834,-0.6843
3.656250,-7.7799,8.7128,-7.3553
3.664062,-6.6863,10.6289,-13.5952
3.671875,-1.7139,9.6674,-12.8251
3.679688,-2.1327,10.0026,-5.7850
3.687500,-7.7955,15.2079,0.3773
3.695312,-10.5075,18.7647,6.4322
3.703125,-12.7390,18.6611,12.9635
3.710938,-9.7938,21.5554,11.3009
3.718750,-2.8508,26.0003,4.8435
3.726562,-3.6735,28.3544,4.5063
3.734375,-3.4339,31.5927,3.9729
3.742188,4.3778,32.5083,-1.1585
3.750000,7.3420,28.6294,-2.8770
3.757812,7.7147,28.6985,-3.3429
3.765625,11.7708,33.9283,-4.2017
3.773438,11.5470,36.0817,1.2461
3.781250,6.0417,34.6933,6.2648
3.789062,1.6582,33.6653,6.1649
3.796875,1.1806,35.7408,11.1783
3.804688,1.7321,41.4570,16.8998
3.812500,-2.4531,43.9619,14.3333
3.820312,-4.7900,40.4118,13.6638
3.828125,0.9384,39.4276,14.7956
3.835938,4.1337,43.1412,6.2233
3.843750,4.5028,44.4831,-2.3901
3.851562,9.1051,44.0259,-2.7787
3.859375,9.0615,47.2817,-6.1936
3.867188,4.6414,52.1098,-10.5278
3.875000,6.5254,53.4444,-4.1506
3.882812,8.0813,52.8658,5.0017
3.890625,3.2066,53.7257,6.3460
3.898438,-1.5045,53.8948,5.2111
3.906250,-5.3281,50.9508,7.3832
3.914062,-10.9371,46.1597,8.7868
3.921875,-15.3058,41.5013,4.1373
3.929688,-14.7384,39.6298,-4.1094
3.937500,-11.1606,40.3084,-11.4360
3.945312,-8.9065,38.6207,-18.0979
3.953125,-4.4438,34.9118,-20.6253
3.960938,3.1644,33.8252,-15.3595
3.968750,3.4518,33.5377,-9.3557
3.976562,-2.2353,31.3046,-5.3263
3.984375,-3.3271,29.1351,1.2719
3.992188,-3.5133,26.8819,5.2846
4.000000,-5.7217,23.1192,3.2691
4.007812,-5.9544,19.5278,0.2635
4.015625,-9.4886,16.5402,-5.3861
4.023438,-17.6054,12.5943,-14.1081
4.031250,-21.6879,9.1105,-21.2012
4.039062,-21.1229,7.9306,-28.0353
4.046875,-18.9521,5.9545,-31.6737
4.054688,-14.2777,1.5656,-27.1950
4.062500,-9.5328,-0.9974,-21.3776
4.070312,-7.2021,-2.4640,-16.1507
4.078125,-4.9527,-6.7579,-7.3357
4.085938,-2.0509,-9.1125,-1.0422
4.093750,-1.6971,-8.3101,0.4855
4.101562,-5.1592,-11.5738,2.0085
4.109375,-10.2504,-15.1254,-1.3098
4.117188,-14.3580,-12.8324,-11.0768
4.125000,-13.2559,-12.5333,-16.5394
4.132812,-7.0283,-16.7768,-15.9613
4.140625,-4.9704,-18.7735,-19.4018
4.148438,-6.3092,-20.3078,-24.9247
4.156250,0.1377,-22.9371,-20.3929
4.164062,8.0004,-22.5071,-11.4389
4.171875,6.3672,-22.9914,-10.7326
4.179688,2.0356,-27.4462,-8.9952
4.187500,-1.3487,-28.1461,-1.1912
4.195312,-6.6762,-24.5010,-1.2835
4.203125,-9.8423,-25.4441,-5.3452
4.210938,-10.9251,-30.4940,-4.8734
4.218750,-12.3531,-32.7960,-13.3058
4.226562,-11.2083,-31.8012,-27.6560
4.234375,-8.6804,-28.1616,-29.3913
4.242188,-6.4000,-22.8182,-26.0671
4.250000,-4.5627,-20.7859,-28.2459
4.257812,-4.5487,-20.0570,-25.6992
4.265625,-0.2191,-14.4758,-14.2759
4.273438,7.3236,-9.3004,-4.7864
4.281250,5.5736,-7.4892,-5.1552
4.289062,-0.4538,-2.3616,-8.7975
4.296875,-4.4951,1.6740,-7.1213
4.304688,-16.0330,-1.2130,-8.2616
4.312500,-24.3962,-2.0289,-17.2113
4.320312,-16.0807,1.5493,-22.8350
4.328125,-10.8578,3.6135,-24.6461
4.335938,-15.3539,6.6487,-28.0524
4.343750,-9.9542,9.5249,-26.3298
4.351562,0.4326,8.5015,-17.6229
4.359375,1.7576,9.9278,-6.6645
4.367188,3.5715,14.3487,3.8096
4.375000,10.2940,15.3117,8.0607
4.382812,12.5029,16.1379,6.4955
4.390625,9.3187,20.3015,3.6087
4.398438,3.5522,24.1826,-2.7203
4.406250,-3.0399,25.6456,-8.9324
4.414062,-5.8315,24.3602,-11.0773
4.421875,-6.7551,24.3125,-14.8366
4.429688,-7.4184,30.5729,-18.0973
4.437500,-1.1989,36.8776,-15.5507
4.445312,5.9309,35.9683,-11.4922
4.453125,3.7302,32.8978,-7.1285
4.460938,3.3252,33.6591,-0.7874
4.468750,9.2842,37.5196,6.0019
4.476562,7.6313,41.4576,11.1815
4.484375,2.5706,43.8760,10.1219
4.492188,3.8455,47.0384,4.6451
4.500000,0.9057,51.1069,1.2521
4.507812,-7.8506,51.7965,-4.1475
4.515625,-11.7906,50.5986,-11.9718
4.523438,-12.1505,51.6359,-14.9178
4.531250,-10.3593,52.5659,-14.4335
4.539062,-5.5567,52.2875,-9.5343
4.546875,-4.5650,52.9094,1.3669
4.554688,-6.7826,53.4839,8.3633
4.562500,-4.3839,54.5338,10.9825
4.570312,0.0332,56.8986,14.3501
4.578125,-1.6146,57.2583,12.0422
4.585938,-7.9206,56.4169,4.4607
4.593750,-10.1656,56.5116,-4.7759
4.601562,-11.8098,53.2435,-18.1356
4.609375,-23.6103,48.3634,-25.8364
4.617188,-35.7854,48.1960,-22.8208
4.625000,-36.6518,47.8730,-21.3447
4.632812,-35.6216,44.5004,-19.1777
4.640625,-34.0142,43.5489,-8.1007
4.648438,-26.2531,40.5144,1.5421
4.656250,-20.1532,31.8785,4.6324
4.664062,-14.8622,27.1180,9.6337
4.671875,-8.8485,27.3276,15.5016
4.679688,-15.4739,27.2273,12.6863
4.687500,-27.7991,28.5314,0.0839
4.695312,-27.8662,27.5876,-14.0953
4.703125,-24.3843,21.9639,-23.5644
4.710938,-28.7622,18.3299,-27.3900
4.718750,-35.6457,13.5002,-27.6099
4.726562,-37.4939,4.7433,-26.4071
4.734375,-32.3880,1.7622,-17.4904
4.742188,-27.7840,2.2146,0.8166
4.750000,-25.3454,-0.6845,10.2146
4.757812,-16.1515,-0.3412,7.2043
4.765625,-6.1536,0.7744,9.9427
4.773438,-3.7323,-4.7563,12.5950
4.781250,-3.5084,-9.1101,2.0975
4.789062,-8.0636,-8.4267,-10.3611
4.796875,-17.1641,-8.6568,-18.4361
4.804688,-20.1381,-11.5157,-22.9916
4.812500,-21.3609,-16.9813,-22.0296
4.820312,-25.0199,-20.3892,-23.3899
4.828125,-24.9658,-17.9348,-21.3802
4.835938,-24.2704,-18.7098,-3.2320
4.843750,-21.8169,-24.4186,12.5828
4.851562,-14.8599,-25.4257,14.8320
4.859375,-11.9617,-25.1461,16.9786
4.867188,-8.7048,-28.5725,12.1671
4.875000,-2.0119,-29.0653,-4.1927
4.882812,-4.9317,-25.8068,-13.6755
4.890625,-9.3261,-23.1669,-16.3512
4.898438,-6.8381,-21.8302,-21.6846
4.906250,-14.1667,-22.5045,-24.0052
4.914062,-24.6245,-22.7653,-21.6896
4.921875,-21.8666,-20.5352,-15.3872
4.929688,-20.4153,-19.6029,-2.2469
4.937500,-23.3811,-19.6303,11.5576
4.945312,-17.3611,-17.5692,18.1935
4.953125,-10.0623,-15.7065,16.6385
4.960938,-7.6753,-14.6248,10.4605
4.968750,-4.9815,-12.1056,2.8897
4.976562,-5.0231,-8.2897,-10.3044
4.984375,-4.9673,-3.8857,-26.5744
4.992188,-0.9469,-0.3241,-32.6494
5.000000,-6.2922,2.0583,-30.0415
5.007812,-23.0530,5.3429,-27.2595
5.015625,-32.8206,8.2417,-20.8297
5.023438,-32.5318,9.2485,-10.5144
5.031250,-33.2708,11.2869,-0.3752
5.039062,-34.2297,14.5309,9.6961
5.046875,-33.0412,17.0773,15.4688
5.054688,-33.9523,20.4619,13.1763
5.062500,-31.9223,23.7462,3.5495
5.070312,-23.1797,23.2128,-13.4407
5.078125,-17.7946,21.0606,-29.9030
5.085938,-16.9308,22.6578,-34.9294
5.093750,-14.0750,27.5266,-30.8829
