Time,Steps
8/03/2026 02:20:00 PM,111
8/03/2026 02:30:00 PM,108
8/03/2026 02:40:00 PM,136
8/03/2026 02:50:00 PM,29
8/03/2026 03:00:00 PM,130
8/03/2026 03:10:00 PM,38
8/03/2026 03:20:00 PM,144
8/03/2026 03:30:00 PM,21
8/03/2026 03:40:00 PM,87
8/03/2026 03:50:00 PM,130
8/03/2026 04:00:00 PM,65
8/03/2026 04:10:00 PM,135
8/03/2026 04:20:00 PM,39
8/03/2026 04:30:00 PM,103
8/03/2026 04:40:00 PM,99
8/03/2026 04:50:00 PM,99
8/03/2026 05:00:00 PM,59
8/03/2026 05:10:00 PM,80
8/03/2026 05:20:00 PM,112
8/03/2026 05:30:00 PM,81
8/03/2026 05:40:00 PM,61
8/03/2026 05:50:00 PM,77
8/03/2026 06:00:00 PM,142
8/03/2026 06:10:00 PM,115
8/03/2026 06:20:00 PM,137
8/03/2026 06:30:00 PM,499
8/03/2026 06:40:00 PM,786
8/03/2026 06:50:00 PM,795
8/03/2026 07:00:00 PM,520
8/03/2026 07:10:00 PM,709
8/03/2026 07:20:00 PM,449
8/03/2026 07:30:00 PM,58
8/03/2026 07:40:00 PM,107
8/03/2026 07:50:00 PM,99
8/03/2026 08:00:00 PM,166
8/03/2026 08:10:00 PM,158
8/03/2026 08:20:00 PM,114
8/03/2026 08:30:00 PM,51
8/03/2026 08:40:00 PM,28
8/03/2026 08:50:00 PM,115
8/03/2026 09:00:00 PM,53
8/03/2026 09:10:00 PM,81
8/03/2026 09:20:00 PM,175
8/03/2026 09:30:00 PM,65
8/03/2026 09:40:00 PM,120
8/03/2026 09:50:00 PM,89
8/03/2026 10:00:00 PM,47
8/03/2026 10:10:00 PM,71
8/03/2026 10:20:00 PM,154
8/03/2026 10:30:00 PM,149
8/03/2026 10:40:00 PM,122
8/03/2026 10:50:00 PM,79
8/03/2026 11:00:00 PM,2
8/03/2026 11:10:00 PM,6
8/03/2026 11:20:00 PM,2
8/03/2026 11:30:00 PM,15
8/03/2026 11:40:00 PM,0
8/03/2026 11:50:00 PM,0
8/04/2026 12:00:00 AM,0
8/04/2026 12:10:00 AM,0
8/04/2026 12:20:00 AM,0
8/04/2026 12:30:00 AM,0
8/04/2026 12:40:00 AM,0
8/04/2026 12:50:00 AM,0
8/04/2026 01:00:00 AM,0
8/04/2026 01:10:00 AM,0
8/04/2026 01:20:00 AM,0
8/04/2026 01:30:00 AM,0
8/04/2026 01:40:00 AM,0
8/04/2026 01:50:00 AM,0
8/04/2026 02:00:00 AM,0
8/04/2026 02:10:00 AM,0
8/04/2026 02:20:00 AM,0
8/04/2026 02:30:00 AM,0
8/04/2026 02:40:00 AM,0
8/04/2026 02:50:00 AM,0
8/04/2026 03:00:00 AM,0
8/04/2026 03:10:00 AM,0
8/04/2026 03:20:00 AM,0
8/04/2026 03:30:00 AM,0
8/04/2026 03:40:00 AM,0
8/04/2026 03:50:00 AM,0
8/04/2026 04:00:00 AM,0
8/04/2026 04:10:00 AM,0
8/04/2026 04:20:00 AM,0
8/04/2026 04:30:00 AM,0
8/04/2026 04:40:00 AM,0
8/04/2026 04:50:00 AM,0
8/04/2026 05:00:00 AM,0
8/04/2026 05:10:00 AM,0
8/04/2026 05:20:00 AM,0
8/04/2026 05:30:00 AM,0
8/04/2026 05:40:00 AM,0
8/04/2026 05:50:00 AM,0
8/04/2026 06:00:00 AM,0
8/04/2026 06:10:00 AM,0
8/04/2026 06:20:00 AM,0
8/04/2026 06:30:00 AM,0
8/04/2026 06:40:00 AM,0
8/04/2026 06:50:00 AM,0
8/04/2026 07:00:00 AM,0
8/04/2026 07:10:00 AM,0
8/04/2026 07:20:00 AM,0
8/04/2026 07:30:00 AM,80
8/04/2026 07:40:00 AM,20
8/04/2026 07:50:00 AM,180
8/04/2026 08:00:00 AM,705
8/04/2026 08:10:00 AM,848
8/04/2026 08:20:00 AM,503
8/04/2026 08:30:00 AM,828
8/04/2026 08:40:00 AM,856
8/04/2026 08:50:00 AM,517
8/04/2026 09:00:00 AM,57
8/04/2026 09:10:00 AM,58
8/04/2026 09:20:00 AM,89
8/04/2026 09:30:00 AM,145
8/04/2026 09:40:00 AM,74
8/04/2026 09:50:00 AM,88
8/04/2026 10:00:00 AM,76
8/04/2026 10:10:00 AM,153
8/04/2026 10:20:00 AM,161
8/04/2026 10:30:00 AM,76
8/04/2026 10:40:00 AM,180
8/04/2026 10:50:00 AM,107
8/04/2026 11:00:00 AM,84
8/04/2026 11:10:00 AM,145
8/04/2026 11:20:00 AM,110
8/04/2026 11:30:00 AM,141
8/04/2026 11:40:00 AM,60
8/04/2026 11:50:00 AM,35
8/04/2026 12:00:00 PM,335
8/04/2026 12:10:00 PM,448
8/04/2026 12:20:00 PM,387
8/04/2026 12:30:00 PM,435
8/04/2026 12:40:00 PM,374
8/04/2026 12:50:00 PM,445
8/04/2026 01:00:00 PM,119
8/04/2026 01:10:00 PM,124
8/04/2026 01:20:00 PM,55
8/04/2026 01:30:00 PM,65
8/04/2026 01:40:00 PM,118
8/04/2026 01:50:00 PM,179
8/04/2026 02:00:00 PM,132
8/04/2026 02:10:00 PM,77
8/04/2026 02:20:00 PM,29
8/04/2026 02:30:00 PM,115
8/04/2026 02:40:00 PM,81
8/04/2026 02:50:00 PM,81
8/04/2026 03:00:00 PM,127
8/04/2026 03:10:00 PM,143
8/04/2026 03:20:00 PM,131
8/04/2026 03:30:00 PM,114
8/04/2026 03:40:00 PM,99
8/04/2026 03:50:00 PM,150
8/04/2026 04:00:00 PM,172
8/04/2026 04:10:00 PM,125
8/04/2026 04:20:00 PM,103
8/04/2026 04:30:00 PM,107
8/04/2026 04:40:00 PM,147
8/04/2026 04:50:00 PM,96
8/04/2026 05:00:00 PM,52
8/04/2026 05:10:00 PM,147
8/04/2026 05:20:00 PM,159
8/04/2026 05:30:00 PM,97
8/04/2026 05:40:00 PM,46
8/04/2026 05:50:00 PM,99
8/04/2026 06:00:00 PM,112
8/04/2026 06:10:00 PM,98
8/04/2026 06:20:00 PM,164
8/04/2026 06:30:00 PM,576
8/04/2026 06:40:00 PM,548
8/04/2026 06:50:00 PM,676
8/04/2026 07:00:00 PM,405
8/04/2026 07:10:00 PM,741
8/04/2026 07:20:00 PM,607
8/04/2026 07:30:00 PM,42
8/04/2026 07:40:00 PM,111
8/04/2026 07:50:00 PM,164
8/04/2026 08:00:00 PM,119
8/04/2026 08:10:00 PM,153
8/04/2026 08:20:00 PM,72
8/04/2026 08:30:00 PM,84
8/04/2026 08:40:00 PM,152
8/04/2026 08:50:00 PM,145
8/04/2026 09:00:00 PM,94
8/04/2026 09:10:00 PM,56
8/04/2026 09:20:00 PM,138
8/04/2026 09:30:00 PM,54
8/04/2026 09:40:00 PM,154
8/04/2026 09:50:00 PM,141
8/04/2026 10:00:00 PM,160
8/04/2026 10:10:00 PM,166
8/04/2026 10:20:00 PM,21
8/04/2026 10:30:00 PM,105
8/04/2026 10:40:00 PM,41
8/04/2026 10:50:00 PM,94
8/04/2026 11:00:00 PM,22
8/04/2026 11:10:00 PM,24
8/04/2026 11:20:00 PM,11
8/04/2026 11:30:00 PM,8
8/04/2026 11:40:00 PM,0
8/04/2026 11:50:00 PM,0
8/05/2026 12:00:00 AM,0
8/05/2026 12:10:00 AM,0
8/05/2026 12:20:00 AM,0
8/05/2026 12:30:00 AM,0
8/05/2026 12:40:00 AM,0
8/05/2026 12:50:00 AM,0
8/05/2026 01:00:00 AM,0
8/05/2026 01:10:00 AM,0
8/05/2026 01:20:00 AM,0
8/05/2026 01:30:00 AM,0
8/05/2026 01:40:00 AM,0
8/05/2026 01:50:00 AM,0
8/05/2026 02:00:00 AM,0
8/05/2026 02:10:00 AM,0
8/05/2026 02:20:00 AM,0
8/05/2026 02:30:00 AM,0
8/05/2026 02:40:00 AM,0
8/05/2026 02:50:00 AM,0
8/05/2026 03:00:00 AM,0
8/05/2026 03:10:00 AM,0
8/05/2026 03:20:00 AM,0
8/05/2026 03:30:00 AM,0
8/05/2026 03:40:00 AM,0
8/05/2026 03:50:00 AM,0
8/05/2026 04:00:00 AM,0
8/05/2026 04:10:00 AM,0
8/05/2026 04:20:00 AM,0
8/05/2026 04:30:00 AM,0
8/05/2026 04:40:00 AM,0
8/05/2026 04:50:00 AM,0
8/05/2026 05:00:00 AM,0
8/05/2026 05:10:00 AM,0
8/05/2026 05:20:00 AM,0
8/05/2026 05:30:00 AM,0
8/05/2026 05:40:00 AM,0
8/05/2026 05:50:00 AM,0
8/05/2026 06:00:00 AM,0
8/05/2026 06:10:00 AM,0
8/05/2026 06:20:00 AM,0
8/05/2026 06:30:00 AM,0
8/05/2026 06:40:00 AM,0
8/05/2026 06:50:00 AM,0
8/05/2026 07:00:00 AM,0
8/05/2026 07:10:00 AM,0
8/05/2026 07:20:00 AM,0
8/05/2026 07:30:00 AM,0
8/05/2026 07:40:00 AM,106
8/05/2026 07:50:00 AM,88
8/05/2026 08:00:00 AM,692
8/05/2026 08:10:00 AM,630
8/05/2026 08:20:00 AM,549
8/05/2026 08:30:00 AM,879
8/05/2026 08:40:00 AM,556
8/05/2026 08:50:00 AM,821
8/05/2026 09:00:00 AM,138
8/05/2026 09:10:00 AM,27
8/05/2026 09:20:00 AM,23
8/05/2026 09:30:00 AM,175
8/05/2026 09:40:00 AM,55
8/05/2026 09:50:00 AM,174
8/05/2026 10:00:00 AM,27
8/05/2026 10:10:00 AM,65
8/05/2026 10:20:00 AM,53
8/05/2026 10:30:00 AM,52
8/05/2026 10:40:00 AM,139
8/05/2026 10:50:00 AM,96
8/05/2026 11:00:00 AM,118
8/05/2026 11:10:00 AM,104
8/05/2026 11:20:00 AM,78
8/05/2026 11:30:00 AM,61
8/05/2026 11:40:00 AM,53
8/05/2026 11:50:00 AM,33
8/05/2026 12:00:00 PM,471
8/05/2026 12:10:00 PM,322
8/05/2026 12:20:00 PM,403
8/05/2026 12:30:00 PM,450
8/05/2026 12:40:00 PM,436
8/05/2026 12:50:00 PM,420
8/05/2026 01:00:00 PM,160
8/05/2026 01:10:00 PM,92
8/05/2026 01:20:00 PM,81
8/05/2026 01:30:00 PM,54
8/05/2026 01:40:00 PM,146
8/05/2026 01:50:00 PM,80
8/05/2026 02:00:00 PM,99
8/05/2026 02:10:00 PM,78
8/05/2026 02:20:00 PM,177
8/05/2026 02:30:00 PM,111
8/05/2026 02:40:00 PM,167
8/05/2026 02:50:00 PM,164
8/05/2026 03:00:00 PM,56
8/05/2026 03:10:00 PM,137
8/05/2026 03:20:00 PM,132
8/05/2026 03:30:00 PM,35
8/05/2026 03:40:00 PM,121
8/05/2026 03:50:00 PM,107
8/05/2026 04:00:00 PM,151
8/05/2026 04:10:00 PM,122
8/05/2026 04:20:00 PM,163
8/05/2026 04:30:00 PM,96
8/05/2026 04:40:00 PM,109
8/05/2026 04:50:00 PM,129
8/05/2026 05:00:00 PM,62
8/05/2026 05:10:00 PM,123
8/05/2026 05:20:00 PM,131
8/05/2026 05:30:00 PM,134
8/05/2026 05:40:00 PM,130
8/05/2026 05:50:00 PM,161
8/05/2026 06:00:00 PM,141
8/05/2026 06:10:00 PM,77
8/05/2026 06:20:00 PM,117
8/05/2026 06:30:00 PM,506
8/05/2026 06:40:00 PM,679
8/05/2026 06:50:00 PM,784
8/05/2026 07:00:00 PM,402
8/05/2026 07:10:00 PM,688
8/05/2026 07:20:00 PM,658
8/05/2026 07:30:00 PM,170
8/05/2026 07:40:00 PM,48
8/05/2026 07:50:00 PM,144
8/05/2026 08:00:00 PM,46
8/05/2026 08:10:00 PM,39
8/05/2026 08:20:00 PM,97
8/05/2026 08:30:00 PM,82
8/05/2026 08:40:00 PM,114
8/05/2026 08:50:00 PM,64
8/05/2026 09:00:00 PM,88
8/05/2026 09:10:00 PM,144
8/05/2026 09:20:00 PM,179
8/05/2026 09:30:00 PM,102
8/05/2026 09:40:00 PM,56
8/05/2026 09:50:00 PM,38
8/05/2026 10:00:00 PM,46
8/05/2026 10:10:00 PM,66
8/05/2026 10:20:00 PM,130
8/05/2026 10:30:00 PM,54
8/05/2026 10:40:00 PM,152
8/05/2026 10:50:00 PM,49
8/05/2026 11:00:00 PM,24
8/05/2026 11:10:00 PM,19
8/05/2026 11:20:00 PM,1
8/05/2026 11:30:00 PM,0
8/05/2026 11:40:00 PM,0
8/05/2026 11:50:00 PM,0
8/06/2026 12:00:00 AM,0
8/06/2026 12:10:00 AM,0
8/06/2026 12:20:00 AM,0
8/06/2026 12:30:00 AM,0
8/06/2026 12:40:00 AM,0
8/06/2026 12:50:00 AM,0
8/06/2026 01:00:00 AM,0
8/06/2026 01:10:00 AM,0
8/06/2026 01:20:00 AM,0
8/06/2026 01:30:00 AM,0
8/06/2026 01:40:00 AM,0
8/06/2026 01:50:00 AM,0
8/06/2026 02:00:00 AM,0
8/06/2026 02:10:00 AM,0
8/06/2026 02:20:00 AM,0
8/06/2026 02:30:00 AM,0
8/06/2026 02:40:00 AM,0
8/06/2026 02:50:00 AM,0
8/06/2026 03:00:00 AM,0
8/06/2026 03:10:00 AM,0
8/06/2026 03:20:00 AM,0
8/06/2026 03:30:00 AM,0
8/06/2026 03:40:00 AM,0
8/06/2026 03:50:00 AM,0
8/06/2026 04:00:00 AM,0
8/06/2026 04:10:00 AM,0
8/06/2026 04:20:00 AM,0
8/06/2026 04:30:00 AM,0
8/06/2026 04:40:00 AM,0
8/06/2026 04:50:00 AM,0
8/06/2026 05:00:00 AM,0
8/06/2026 05:10:00 AM,0
8/06/2026 05:20:00 AM,0
8/06/2026 05:30:00 AM,0
8/06/2026 05:40:00 AM,0
8/06/2026 05:50:00 AM,0
8/06/2026 06:00:00 AM,0
8/06/2026 06:10:00 AM,0
8/06/2026 06:20:00 AM,0
8/06/2026 06:30:00 AM,0
8/06/2026 06:40:00 AM,0
8/06/2026 06:50:00 AM,0
8/06/2026 07:00:00 AM,0
8/06/2026 07:10:00 AM,0
8/06/2026 07:20:00 AM,0
8/06/2026 07:30:00 AM,0
8/06/2026 07:40:00 AM,63
8/06/2026 07:50:00 AM,30
8/06/2026 08:00:00 AM,737
8/06/2026 08:10:00 AM,701
8/06/2026 08:20:00 AM,531
8/06/2026 08:30:00 AM,622
8/06/2026 08:40:00 AM,719
8/06/2026 08:50:00 AM,678
8/06/2026 09:00:00 AM,50
8/06/2026 09:10:00 AM,152
8/06/2026 09:20:00 AM,137
8/06/2026 09:30:00 AM,64
8/06/2026 09:40:00 AM,134
8/06/2026 09:50:00 AM,160
8/06/2026 10:00:00 AM,156
8/06/2026 10:10:00 AM,63
8/06/2026 10:20:00 AM,74
8/06/2026 10:30:00 AM,134
8/06/2026 10:40:00 AM,66
8/06/2026 10:50:00 AM,60
8/06/2026 11:00:00 AM,56
8/06/2026 11:10:00 AM,114
8/06/2026 11:20:00 AM,88
8/06/2026 11:30:00 AM,122
8/06/2026 11:40:00 AM,109
8/06/2026 11:50:00 AM,131
8/06/2026 12:00:00 PM,395
8/06/2026 12:10:00 PM,454
8/06/2026 12:20:00 PM,363
8/06/2026 12:30:00 PM,496
8/06/2026 12:40:00 PM,393
8/06/2026 12:50:00 PM,258
8/06/2026 01:00:00 PM,158
8/06/2026 01:10:00 PM,108
8/06/2026 01:20:00 PM,112
8/06/2026 01:30:00 PM,132
8/06/2026 01:40:00 PM,72
8/06/2026 01:50:00 PM,78
8/06/2026 02:00:00 PM,161
8/06/2026 02:10:00 PM,115
8/06/2026 02:20:00 PM,110
8/06/2026 02:30:00 PM,149
8/06/2026 02:40:00 PM,60
8/06/2026 02:50:00 PM,164
8/06/2026 03:00:00 PM,84
8/06/2026 03:10:00 PM,113
8/06/2026 03:20:00 PM,155
8/06/2026 03:30:00 PM,176
8/06/2026 03:40:00 PM,48
8/06/2026 03:50:00 PM,129
8/06/2026 04:00:00 PM,20
8/06/2026 04:10:00 PM,41
8/06/2026 04:20:00 PM,147
8/06/2026 04:30:00 PM,64
8/06/2026 04:40:00 PM,20
8/06/2026 04:50:00 PM,120
8/06/2026 05:00:00 PM,69
8/06/2026 05:10:00 PM,173
8/06/2026 05:20:00 PM,165
8/06/2026 05:30:00 PM,33
8/06/2026 05:40:00 PM,171
8/06/2026 05:50:00 PM,166
8/06/2026 06:00:00 PM,39
8/06/2026 06:10:00 PM,48
8/06/2026 06:20:00 PM,108
8/06/2026 06:30:00 PM,656
8/06/2026 06:40:00 PM,699
8/06/2026 06:50:00 PM,670
8/06/2026 07:00:00 PM,673
8/06/2026 07:10:00 PM,645
8/06/2026 07:20:00 PM,477
8/06/2026 07:30:00 PM,143
8/06/2026 07:40:00 PM,44
8/06/2026 07:50:00 PM,83
8/06/2026 08:00:00 PM,100
8/06/2026 08:10:00 PM,123
8/06/2026 08:20:00 PM,165
8/06/2026 08:30:00 PM,36
8/06/2026 08:40:00 PM,50
8/06/2026 08:50:00 PM,140
8/06/2026 09:00:00 PM,70
8/06/2026 09:10:00 PM,135
8/06/2026 09:20:00 PM,25
8/06/2026 09:30:00 PM,25
8/06/2026 09:40:00 PM,165
8/06/2026 09:50:00 PM,24
8/06/2026 10:00:00 PM,114
8/06/2026 10:10:00 PM,64
8/06/2026 10:20:00 PM,167
8/06/2026 10:30:00 PM,65
8/06/2026 10:40:00 PM,79
8/06/2026 10:50:00 PM,159
8/06/2026 11:00:00 PM,10
8/06/2026 11:10:00 PM,18
8/06/2026 11:20:00 PM,0
8/06/2026 11:30:00 PM,0
8/06/2026 11:40:00 PM,0
8/06/2026 11:50:00 PM,0
8/07/2026 12:00:00 AM,0
8/07/2026 12:10:00 AM,0
8/07/2026 12:20:00 AM,0
8/07/2026 12:30:00 AM,0
8/07/2026 12:40:00 AM,0
8/07/2026 12:50:00 AM,0
8/07/2026 01:00:00 AM,0
8/07/2026 01:10:00 AM,0
8/07/2026 01:20:00 AM,0
8/07/2026 01:30:00 AM,0
8/07/2026 01:40:00 AM,0
8/07/2026 01:50:00 AM,0
8/07/2026 02:00:00 AM,0
8/07/2026 02:10:00 AM,0
8/07/2026 02:20:00 AM,0
8/07/2026 02:30:00 AM,0
8/07/2026 02:40:00 AM,0
8/07/2026 02:50:00 AM,0
8/07/2026 03:00:00 AM,0
8/07/2026 03:10:00 AM,0
8/07/2026 03:20:00 AM,0
8/07/2026 03:30:00 AM,0
8/07/2026 03:40:00 AM,0
8/07/2026 03:50:00 AM,0
8/07/2026 04:00:00 AM,0
8/07/2026 04:10:00 AM,0
8/07/2026 04:20:00 AM,0
8/07/2026 04:30:00 AM,0
8/07/2026 04:40:00 AM,0
8/07/2026 04:50:00 AM,0
8/07/2026 05:00:00 AM,0
8/07/2026 05:10:00 AM,0
8/07/2026 05:20:00 AM,0
8/07/2026 05:30:00 AM,0
8/07/2026 05:40:00 AM,0
8/07/2026 05:50:00 AM,0
8/07/2026 06:00:00 AM,0
8/07/2026 06:10:00 AM,0
8/07/2026 06:20:00 AM,0
8/07/2026 06:30:00 AM,0
8/07/2026 06:40:00 AM,0
8/07/2026 06:50:00 AM,0
8/07/2026 07:00:00 AM,0
8/07/2026 07:10:00 AM,0
8/07/2026 07:20:00 AM,0
8/07/2026 07:30:00 AM,0
8/07/2026 07:40:00 AM,156
8/07/2026 07:50:00 AM,71
8/07/2026 08:00:00 AM,806
8/07/2026 08:10:00 AM,529
8/07/2026 08:20:00 AM,677
8/07/2026 08:30:00 AM,753
8/07/2026 08:40:00 AM,678
8/07/2026 08:50:00 AM,710
8/07/2026 09:00:00 AM,162
8/07/2026 09:10:00 AM,103
8/07/2026 09:20:00 AM,176
8/07/2026 09:30:00 AM,145
8/07/2026 09:40:00 AM,23
8/07/2026 09:50:00 AM,110
8/07/2026 10:00:00 AM,74
8/07/2026 10:10:00 AM,171
8/07/2026 10:20:00 AM,38
8/07/2026 10:30:00 AM,54
8/07/2026 10:40:00 AM,38
8/07/2026 10:50:00 AM,30
8/07/2026 11:00:00 AM,166
8/07/2026 11:10:00 AM,82
8/07/2026 11:20:00 AM,141
8/07/2026 11:30:00 AM,123
8/07/2026 11:40:00 AM,176
8/07/2026 11:50:00 AM,128
8/07/2026 12:00:00 PM,314
8/07/2026 12:10:00 PM,425
8/07/2026 12:20:00 PM,451
8/07/2026 12:30:00 PM,252
8/07/2026 12:40:00 PM,301
8/07/2026 12:50:00 PM,465
8/07/2026 01:00:00 PM,144
8/07/2026 01:10:00 PM,39
8/07/2026 01:20:00 PM,38
8/07/2026 01:30:00 PM,174
8/07/2026 01:40:00 PM,108
8/07/2026 01:50:00 PM,161
8/07/2026 02:00:00 PM,84
8/07/2026 02:10:00 PM,142
8/07/2026 02:20:00 PM,51
8/07/2026 02:30:00 PM,28
8/07/2026 02:40:00 PM,59
8/07/2026 02:50:00 PM,176
8/07/2026 03:00:00 PM,87
8/07/2026 03:10:00 PM,67
8/07/2026 03:20:00 PM,153
8/07/2026 03:30:00 PM,118
8/07/2026 03:40:00 PM,108
8/07/2026 03:50:00 PM,52
8/07/2026 04:00:00 PM,95
8/07/2026 04:10:00 PM,34
8/07/2026 04:20:00 PM,104
8/07/2026 04:30:00 PM,103
8/07/2026 04:40:00 PM,24
8/07/2026 04:50:00 PM,144
8/07/2026 05:00:00 PM,97
8/07/2026 05:10:00 PM,32
8/07/2026 05:20:00 PM,79
8/07/2026 05:30:00 PM,105
8/07/2026 05:40:00 PM,22
8/07/2026 05:50:00 PM,41
8/07/2026 06:00:00 PM,53
8/07/2026 06:10:00 PM,175
8/07/2026 06:20:00 PM,33
8/07/2026 06:30:00 PM,753
8/07/2026 06:40:00 PM,564
8/07/2026 06:50:00 PM,434
8/07/2026 07:00:00 PM,647
8/07/2026 07:10:00 PM,485
8/07/2026 07:20:00 PM,784
8/07/2026 07:30:00 PM,40
8/07/2026 07:40:00 PM,31
8/07/2026 07:50:00 PM,162
8/07/2026 08:00:00 PM,35
8/07/2026 08:10:00 PM,68
8/07/2026 08:20:00 PM,132
8/07/2026 08:30:00 PM,164
8/07/2026 08:40:00 PM,146
8/07/2026 08:50:00 PM,96
8/07/2026 09:00:00 PM,135
8/07/2026 09:10:00 PM,136
8/07/2026 09:20:00 PM,88
8/07/2026 09:30:00 PM,143
8/07/2026 09:40:00 PM,113
8/07/2026 09:50:00 PM,32
8/07/2026 10:00:00 PM,114
8/07/2026 10:10:00 PM,140
8/07/2026 10:20:00 PM,40
8/07/2026 10:30:00 PM,47
8/07/2026 10:40:00 PM,62
8/07/2026 10:50:00 PM,60
8/07/2026 11:00:00 PM,13
8/07/2026 11:10:00 PM,19
8/07/2026 11:20:00 PM,18
8/07/2026 11:30:00 PM,4
8/07/2026 11:40:00 PM,12
8/07/2026 11:50:00 PM,12
8/08/2026 12:00:00 AM,0
8/08/2026 12:10:00 AM,0
8/08/2026 12:20:00 AM,0
8/08/2026 12:30:00 AM,0
8/08/2026 12:40:00 AM,0
8/08/2026 12:50:00 AM,0
8/08/2026 01:00:00 AM,0
8/08/2026 01:10:00 AM,0
8/08/2026 01:20:00 AM,0
8/08/2026 01:30:00 AM,0
8/08/2026 01:40:00 AM,0
8/08/2026 01:50:00 AM,0
8/08/2026 02:00:00 AM,0
8/08/2026 02:10:00 AM,0
8/08/2026 02:20:00 AM,0
8/08/2026 02:30:00 AM,0
8/08/2026 02:40:00 AM,0
8/08/2026 02:50:00 AM,0
8/08/2026 03:00:00 AM,0
8/08/2026 03:10:00 AM,0
8/08/2026 03:20:00 AM,0
8/08/2026 03:30:00 AM,0
8/08/2026 03:40:00 AM,0
8/08/2026 03:50:00 AM,0
8/08/2026 04:00:00 AM,0
8/08/2026 04:10:00 AM,0
8/08/2026 04:20:00 AM,0
8/08/2026 04:30:00 AM,0
8/08/2026 04:40:00 AM,0
8/08/2026 04:50:00 AM,0
8/08/2026 05:00:00 AM,0
8/08/2026 05:10:00 AM,0
8/08/2026 05:20:00 AM,0
8/08/2026 05:30:00 AM,0
8/08/2026 05:40:00 AM,0
8/08/2026 05:50:00 AM,0
8/08/2026 06:00:00 AM,0
8/08/2026 06:10:00 AM,0
8/08/2026 06:20:00 AM,0
8/08/2026 06:30:00 AM,0
8/08/2026 06:40:00 AM,0
8/08/2026 06:50:00 AM,0
8/08/2026 07:00:00 AM,0
8/08/2026 07:10:00 AM,0
8/08/2026 07:20:00 AM,0
8/08/2026 07:30:00 AM,0
8/08/2026 07:40:00 AM,0
8/08/2026 07:50:00 AM,39
8/08/2026 08:00:00 AM,812
8/08/2026 08:10:00 AM,672
8/08/2026 08:20:00 AM,733
8/08/2026 08:30:00 AM,557
8/08/2026 08:40:00 AM,672
8/08/2026 08:50:00 AM,822
8/08/2026 09:00:00 AM,60
8/08/2026 09:10:00 AM,66
8/08/2026 09:20:00 AM,168
