# hrvkit 예제 데이터 — **합성(synthetic)** 입니다. 실제 피험자 기록이 아닙니다.
# 목적: --window(구간별 추이) 시연. 20분 세션에서 느린 호흡 개입이
#       서서히 붙어 RMSSD/SD1 이 시간에 따라 증가하도록 만든 시계열.
#       이상박동 4개(놓친/여분 박동)를 의도적으로 섞었습니다.
time_s,rr_ms
83.732,825.9
84.558,823.6
85.382,820.9
86.203,807.1
87.010,800.7
87.811,814.9
88.626,838.6
89.464,831.1
90.295,823.8
91.119,820.3
91.939,829.6
92.769,837.8
93.607,838.3
94.445,808.0
95.253,778.2
96.031,801.7
96.833,821.2
97.654,811.1
98.465,808.7
99.274,796.9
100.071,827.3
100.898,848.0
101.746,837.9
102.584,819.7
103.404,815.8
104.220,818.1
105.038,841.0
105.879,818.3
106.697,789.5
107.486,794.3
108.281,816.9
109.098,845.7
109.943,832.8
110.776,813.1
111.589,818.7
112.408,856.4
113.264,834.1
114.098,799.7
114.898,801.0
115.699,812.9
116.512,815.8
117.328,824.7
118.152,804.2
118.957,799.0
119.756,816.9
120.573,839.8
121.412,847.1
122.259,816.9
123.076,817.7
123.894,812.2
124.706,813.2
125.519,828.2
126.348,793.4
127.141,780.4
127.921,801.2
128.723,836.2
129.559,833.8
130.393,817.8
131.210,812.5
132.023,835.4
132.858,841.0
133.699,822.5
134.522,809.3
135.331,801.3
136.132,810.5
136.943,825.6
137.768,830.8
138.599,802.1
139.401,816.7
140.218,833.7
141.052,855.4
141.907,850.4
142.757,824.4
143.582,809.7
144.392,823.5
145.215,824.1
146.039,803.1
146.842,783.8
147.626,803.4
148.429,828.1
149.257,837.6
150.095,819.4
150.914,805.9
151.720,838.9
152.559,835.1
153.394,833.0
154.227,806.4
155.034,796.1
155.830,812.3
156.642,817.1
157.459,829.3
158.289,815.0
159.104,812.1
159.916,820.1
160.736,848.9
161.585,840.8
162.425,816.3
163.242,807.6
164.049,811.2
164.861,835.1
165.696,817.2
166.513,793.9
167.307,788.4
168.095,823.9
168.919,840.0
169.759,825.5
170.584,814.9
171.399,809.2
172.209,846.1
173.055,382.7
173.437,819.9
174.257,788.1
175.045,793.9
175.839,812.2
176.652,828.5
177.480,814.9
178.295,796.8
179.092,805.4
179.897,846.4
180.743,852.5
181.596,825.2
182.421,801.5
183.223,809.2
184.032,825.9
184.858,842.1
185.700,806.2
186.506,786.3
187.293,802.9
188.095,843.2
188.939,835.7
189.774,813.3
190.588,824.6
191.412,824.7
192.237,851.0
193.088,839.6
193.928,807.3
194.735,776.3
195.511,801.8
196.313,826.8
197.140,824.5
197.964,804.5
198.769,812.5
199.581,840.6
200.422,846.5
201.268,844.4
202.113,805.4
202.918,801.8
203.720,828.6
204.548,835.6
205.384,814.3
206.198,797.9
206.996,792.4
207.788,823.2
208.612,840.6
209.452,832.8
210.285,820.0
211.105,820.8
211.926,841.5
212.767,850.5
213.618,822.8
214.441,794.8
215.235,800.6
216.036,812.0
216.848,824.6
217.673,798.4
218.471,798.0
219.269,816.0
220.085,848.7
220.934,853.9
221.788,821.6
222.609,809.4
223.419,810.4
224.229,842.3
225.071,815.6
225.887,801.3
226.688,799.5
227.488,825.0
228.313,827.9
229.141,836.6
229.977,818.1
230.795,816.4
231.612,846.5
232.458,847.3
233.305,836.5
234.142,805.8
234.948,797.4
235.745,811.8
236.557,829.4
237.386,837.6
238.224,801.4
239.025,808.6
239.834,830.2
240.664,855.8
241.520,829.1
242.349,814.0
243.163,812.5
243.976,833.9
244.810,826.5
245.636,808.2
246.444,782.1
247.226,801.9
248.028,824.1
248.852,841.9
249.694,825.2
250.519,804.4
251.324,841.3
252.165,847.1
253.012,826.4
253.839,793.7
254.632,798.2
255.431,814.7
256.245,825.3
257.071,832.9
257.903,802.8
258.706,807.1
259.513,827.5
260.341,855.7
261.197,843.0
262.040,810.8
262.850,813.3
263.664,817.6
264.481,840.8
265.322,813.8
266.136,788.2
266.924,788.5
267.713,816.4
268.529,850.5
269.379,826.2
270.206,818.8
271.024,822.0
271.846,856.5
272.703,851.3
273.554,825.8
274.380,796.1
275.176,801.3
275.977,824.8
276.802,833.9
277.636,810.2
278.446,791.1
279.237,813.5
280.051,858.5
280.909,846.4
281.756,836.4
282.592,806.8
283.399,820.0
284.219,834.6
285.053,820.7
285.874,808.9
286.683,788.6
287.472,807.8
288.279,843.7
289.123,837.7
289.961,820.6
290.781,815.3
291.597,827.5
292.424,852.6
293.277,839.8
294.117,795.5
294.912,787.5
295.700,805.6
296.505,835.5
297.341,815.0
298.156,804.6
298.960,800.3
299.761,848.5
300.609,853.8
301.463,832.2
302.295,800.4
303.096,807.4
303.903,836.9
304.740,827.6
305.567,810.5
306.378,767.8
307.146,798.9
307.945,830.3
308.775,834.6
309.609,827.0
310.436,810.5
311.247,831.5
312.079,853.4
312.932,842.2
313.774,804.9
314.579,785.2
315.364,802.8
316.167,826.6
316.994,820.6
317.814,795.4
318.610,794.6
319.404,817.6
320.222,850.7
321.073,836.7
321.909,825.4
322.735,805.6
323.540,818.8
324.359,832.9
325.192,817.8
326.010,791.1
326.801,785.7
327.587,808.6
328.395,840.5
329.236,840.9
330.077,826.1
330.903,819.4
331.722,836.5
332.559,851.7
333.410,823.4
334.234,802.9
335.037,793.4
335.830,819.7
336.650,826.6
337.476,813.0
338.289,801.9
339.091,803.6
339.895,847.7
340.743,854.0
341.597,831.5
342.428,806.5
343.235,804.2
344.039,830.2
344.869,829.6
345.699,809.5
346.508,779.5
347.288,798.8
348.086,830.1
348.917,834.9
349.752,814.4
350.566,809.5
351.375,822.2
352.198,859.1
353.057,835.5
353.892,811.6
354.704,780.0
355.484,808.6
356.292,822.5
357.115,825.7
357.941,799.2
358.740,797.9
359.538,844.2
360.382,853.4
361.235,847.8
362.083,818.9
362.902,823.8
363.726,814.0
364.540,850.9
365.391,807.2
366.198,782.0
366.980,787.0
367.767,810.6
368.577,850.4
369.428,836.4
370.264,811.9
371.076,822.6
371.899,838.7
372.737,851.9
373.589,820.5
374.410,786.7
375.196,793.6
375.990,806.2
376.796,834.4
377.631,804.4
378.435,796.5
379.232,829.4
380.061,849.8
380.911,863.2
381.774,819.2
382.593,804.6
383.398,812.3
384.210,845.8
385.056,819.8
385.876,786.6
386.662,790.4
387.453,816.2
388.269,831.8
389.101,836.2
389.937,820.3
390.757,817.4
391.575,841.6
392.416,863.7
393.280,833.4
394.113,792.0
394.905,799.6
395.705,821.6
396.526,838.0
397.364,820.4
398.185,801.5
398.986,802.1
399.788,838.6
400.627,857.2
401.484,821.9
402.306,800.6
403.107,811.6
403.918,844.0
404.762,825.6
405.588,805.4
406.393,796.8
407.190,796.3
407.986,1630.9
409.617,869.8
410.487,826.0
411.313,808.2
412.121,820.5
412.942,858.0
413.800,848.7
414.649,804.6
415.453,785.9
416.239,805.7
417.045,825.6
417.870,826.9
418.697,795.5
419.493,798.6
420.291,832.4
421.124,863.0
421.987,857.4
422.844,812.6
423.657,789.4
424.446,818.8
425.265,828.1
426.093,821.7
426.915,777.8
427.693,774.8
428.467,816.3
429.284,854.1
430.138,839.7
430.977,802.7
431.780,821.3
432.601,837.4
433.439,850.8
434.289,814.3
435.104,783.7
435.887,779.7
436.667,809.0
437.476,835.3
438.311,815.4
439.127,798.7
439.925,806.1
440.732,852.0
441.584,866.5
442.450,821.1
443.271,799.3
444.070,794.1
444.864,838.8
445.703,825.8
446.529,797.1
447.326,788.8
448.115,804.8
448.920,834.9
449.755,841.7
450.596,814.3
451.411,811.4
452.222,838.9
453.061,855.6
453.917,841.3
454.758,797.4
455.555,790.8
456.346,804.0
457.150,833.2
457.983,833.3
458.817,800.2
459.617,801.1
460.418,837.6
461.255,854.3
462.110,844.6
462.954,809.9
463.764,797.6
464.562,829.0
465.391,843.1
466.234,809.6
467.044,791.6
467.835,791.5
468.627,820.5
469.447,843.9
470.291,819.0
471.110,814.3
471.924,821.5
472.746,854.6
473.600,843.0
474.443,818.1
475.262,782.7
476.044,781.9
476.826,837.1
477.663,834.4
478.498,807.6
479.305,786.8
480.092,818.6
480.911,854.8
481.765,854.4
482.620,827.1
483.447,803.7
484.250,824.8
485.075,848.3
485.924,826.1
486.750,796.6
487.546,785.0
488.331,818.6
489.150,857.8
490.008,832.2
490.840,806.9
491.647,805.9
492.453,835.1
493.288,849.1
494.137,842.9
494.980,787.1
495.767,785.6
496.552,808.6
497.361,850.7
498.212,804.3
499.016,801.4
499.817,797.0
500.614,852.8
501.467,852.5
502.320,825.6
503.145,806.8
503.952,809.6
504.762,837.3
505.599,830.7
506.430,803.0
507.233,779.4
508.012,809.5
508.822,834.7
509.656,852.9
510.509,836.1
511.345,790.7
512.136,799.6
512.936,844.2
513.780,845.2
514.625,801.2
515.426,790.2
516.216,804.1
517.020,837.5
517.858,805.7
518.664,803.7
519.467,805.9
520.273,823.4
521.097,866.2
521.963,854.2
522.817,796.2
523.613,797.9
524.411,816.2
525.227,837.7
526.065,827.3
526.892,767.2
527.659,774.8
528.434,826.6
529.261,858.4
530.119,839.8
530.959,791.0
531.750,804.1
532.554,845.5
533.400,858.8
534.258,823.4
535.082,793.5
535.875,794.3
536.670,808.4
537.478,826.1
538.304,811.7
539.116,791.8
539.908,805.6
540.713,840.0
541.553,865.4
542.419,822.8
543.241,791.0
544.032,817.4
544.850,830.4
545.680,842.4
546.523,808.6
547.331,779.9
548.111,789.8
548.901,844.3
549.745,845.8
550.591,804.8
551.396,800.2
552.196,834.8
553.031,862.8
553.893,846.7
554.740,803.7
555.544,782.4
556.326,812.6
557.139,851.2
557.990,830.6
558.821,787.7
559.608,785.6
560.394,821.8
561.216,864.0
562.080,841.9
562.922,813.4
563.735,794.5
564.530,817.4
565.347,838.8
566.186,818.1
567.004,783.8
567.788,785.6
568.573,826.8
569.400,848.8
570.249,833.3
571.082,798.1
571.880,813.6
572.694,850.8
573.545,861.9
574.407,804.3
575.211,779.0
575.990,800.2
576.790,839.3
577.630,844.1
578.474,805.8
579.279,783.3
580.063,805.5
580.868,843.5
581.712,854.9
582.567,817.4
583.384,793.5
584.178,818.5
584.996,857.8
585.854,830.8
586.685,798.5
587.483,782.6
588.266,809.5
589.075,855.6
589.931,848.5
590.779,810.1
591.589,793.9
592.383,830.8
593.214,857.5
594.072,838.8
594.911,771.7
595.682,785.1
596.467,820.3
597.288,837.8
598.125,812.4
598.938,801.8
599.740,800.1
600.540,829.4
601.369,876.5
602.246,828.3
603.074,796.5
603.870,805.3
604.676,828.6
605.504,841.2
606.345,807.2
607.153,772.9
607.926,773.5
608.699,827.2
609.526,849.7
610.376,826.7
611.203,799.8
612.002,822.7
612.825,851.1
613.676,856.1
614.532,814.1
615.346,761.0
616.107,802.3
616.910,832.3
617.742,838.6
618.581,804.3
619.385,776.4
620.161,808.5
620.970,852.4
621.822,853.9
622.676,815.9
623.492,777.2
624.269,811.8
625.081,845.0
625.926,830.2
626.756,790.5
627.547,783.4
628.330,808.5
629.138,852.0
629.990,855.1
630.845,813.7
631.659,808.6
632.468,831.3
633.299,860.6
634.160,831.3
634.991,782.4
635.773,789.3
636.563,816.0
637.379,841.0
638.220,821.0
639.041,793.5
639.834,801.1
640.635,845.1
641.480,854.6
642.335,827.7
643.163,787.3
643.950,807.5
644.757,835.6
645.593,832.4
646.425,794.6
647.220,770.1
647.990,797.0
648.787,839.8
649.627,852.0
650.479,821.0
651.300,802.7
652.103,816.0
652.918,850.1
653.769,856.1
654.625,815.8
655.441,782.2
656.223,801.6
657.024,842.0
657.866,834.4
658.701,797.0
659.498,787.3
660.285,830.6
661.116,869.8
661.985,861.6
662.847,805.0
663.652,795.4
664.447,822.0
665.270,845.5
666.115,814.9
666.930,778.1
667.708,786.1
668.494,814.8
669.309,854.4
670.163,843.3
671.007,814.5
671.821,816.9
672.638,855.0
673.493,846.8
674.340,818.4
675.158,789.9
675.948,797.6
676.746,836.4
677.582,826.7
678.409,819.2
679.228,790.1
680.018,812.2
680.830,858.3
681.689,870.3
682.559,803.9
683.363,789.0
684.152,805.2
684.957,843.1
685.800,829.1
686.629,782.2
687.412,770.2
688.182,796.7
688.978,836.8
689.815,847.1
690.662,818.5
691.481,797.4
692.278,828.2
693.106,855.9
693.962,838.5
694.801,798.9
695.600,778.9
696.379,805.0
697.184,843.2
698.027,834.0
698.861,789.0
699.650,794.5
700.444,830.6
701.275,864.9
702.140,839.2
702.979,809.3
703.788,797.5
704.586,820.9
705.407,858.0
706.265,817.0
707.082,771.9
707.854,778.3
708.632,833.6
709.465,854.3
710.320,825.0
711.145,796.2
711.941,811.5
712.752,848.8
713.601,860.8
714.462,813.8
715.276,776.7
716.052,792.9
716.845,834.0
717.679,837.1
718.516,802.0
719.318,353.0
719.671,822.0
720.493,864.0
721.357,861.9
722.219,819.2
723.038,780.6
723.819,812.7
724.632,841.2
725.473,837.7
726.311,783.2
727.094,766.7
727.861,804.9
728.665,851.7
729.517,846.5
730.364,802.0
731.166,807.7
731.973,827.2
732.801,872.4
733.673,844.2
734.517,779.9
735.297,786.8
736.084,807.0
736.891,840.5
737.731,814.4
738.546,787.6
739.333,793.7
740.127,856.8
740.984,871.5
741.855,838.1
742.693,790.2
743.484,804.7
744.288,823.8
745.112,841.0
745.953,802.5
746.756,785.2
747.541,799.8
748.341,837.4
749.178,862.3
750.040,820.5
750.861,810.2
751.671,827.1
752.498,875.2
753.373,843.5
754.217,794.8
755.012,773.3
755.785,811.1
756.596,828.8
757.425,849.8
758.275,779.9
759.055,779.3
759.834,816.1
760.650,863.4
761.514,836.1
762.350,797.3
763.147,788.6
763.936,828.2
764.764,851.4
765.615,822.6
766.438,775.3
767.213,770.9
767.984,822.9
768.807,858.7
769.666,843.9
770.510,794.6
771.304,804.2
772.108,848.3
772.957,866.1
773.823,828.5
774.651,786.6
775.438,787.6
776.225,804.4
777.030,832.9
777.863,804.8
778.667,792.1
779.459,810.8
780.270,852.7
781.123,869.9
781.993,837.1
782.830,791.6
783.622,797.8
784.419,839.3
785.259,840.5
786.099,794.9
786.894,774.4
787.668,793.0
788.461,840.9
789.302,858.8
790.161,815.0
790.976,781.5
791.758,830.6
792.588,868.2
793.456,849.3
794.306,786.7
795.092,776.0
795.868,806.7
796.675,839.5
797.515,843.3
798.358,781.4
799.139,794.4
799.934,822.9
800.757,864.1
801.621,848.8
802.470,800.8
803.270,791.1
804.062,819.3
804.881,849.2
805.730,808.0
806.538,774.8
807.313,764.5
808.077,825.8
808.903,862.8
809.766,840.5
810.607,797.8
811.404,819.2
812.224,848.8
813.072,846.8
813.919,820.8
814.740,766.0
815.506,785.3
816.291,833.7
817.125,840.2
817.965,818.8
818.784,785.3
819.569,810.8
820.380,857.6
821.238,865.0
822.103,821.1
822.924,786.6
823.710,798.7
824.509,860.6
825.370,838.7
826.208,796.7
827.005,777.2
827.782,807.4
828.590,851.1
829.441,847.2
830.288,817.4
831.105,804.8
831.910,828.6
832.739,873.3
833.612,833.4
834.445,786.7
835.232,776.1
836.008,809.9
836.818,833.0
837.651,827.4
838.479,775.8
839.254,800.3
840.055,842.1
840.897,878.2
841.775,842.7
842.618,793.0
843.411,808.5
844.219,846.8
845.066,838.1
845.904,808.1
846.712,794.2
847.507,789.1
848.296,827.7
849.123,866.9
849.990,826.8
850.817,794.1
851.611,821.8
852.433,851.3
853.284,851.6
854.136,811.3
854.947,774.5
855.722,796.1
856.518,834.4
857.352,829.9
858.182,787.9
858.970,776.2
859.746,826.0
860.572,870.2
861.442,863.5
862.306,801.5
863.107,788.5
863.896,815.5
864.711,849.0
865.560,825.0
866.385,771.5
867.157,770.9
867.928,811.7
868.740,867.5
869.607,839.3
870.446,794.5
871.241,799.7
872.040,838.4
872.879,862.5
873.741,838.2
874.579,777.3
875.357,773.0
876.130,824.7
876.955,838.7
877.793,822.4
878.616,777.8
879.393,804.5
880.198,849.6
881.048,881.3
881.929,834.7
882.764,796.6
883.560,808.7
884.369,839.0
885.208,850.6
886.058,790.1
886.849,777.8
887.626,793.1
888.419,855.2
889.275,858.0
890.133,818.0
890.951,795.8
891.746,818.8
892.565,861.1
893.426,846.0
894.272,784.0
895.056,776.2
895.833,801.8
896.634,837.4
897.472,840.0
898.312,785.9
899.098,772.2
899.870,830.5
900.700,859.3
901.560,860.3
902.420,809.8
903.230,786.7
904.017,816.8
904.833,850.7
905.684,824.5
906.509,780.3
907.289,791.3
908.080,832.8
908.913,864.2
909.777,839.1
910.616,788.3
911.404,797.7
912.202,860.7
913.063,857.0
913.920,803.9
914.724,775.1
915.499,797.5
916.296,831.2
917.128,857.5
917.985,803.1
918.788,785.0
919.573,797.7
920.371,870.0
921.241,867.0
922.108,827.8
922.936,788.9
923.724,812.4
924.537,843.0
925.380,841.9
926.222,779.9
927.002,774.2
927.776,815.2
928.591,860.3
929.451,864.3
930.316,812.8
931.128,799.8
931.928,845.6
932.774,858.7
933.633,839.2
934.472,775.2
935.247,772.1
936.019,816.2
936.835,846.8
937.682,820.8
938.503,787.4
939.290,795.3
940.085,840.7
940.926,882.2
941.808,834.1
942.642,792.2
943.435,792.8
944.228,838.8
945.066,849.9
945.916,815.2
946.732,764.7
947.496,772.7
948.269,837.6
949.106,862.2
949.969,828.0
950.797,787.0
951.584,808.6
952.392,847.7
953.240,867.3
954.107,799.4
954.907,775.0
955.682,786.2
956.468,831.5
957.299,844.8
958.144,808.9
958.953,787.2
959.740,813.9
960.554,871.8
961.426,868.1
962.294,814.8
963.109,787.0
963.896,824.5
964.720,848.9
965.569,825.8
966.395,789.6
967.185,766.8
967.952,812.1
968.764,857.8
969.621,832.3
970.454,812.5
971.266,806.0
972.072,847.4
972.920,864.4
973.784,829.2
974.613,773.5
975.387,783.9
976.171,812.5
976.983,857.0
977.840,811.9
978.652,782.1
979.434,797.7
980.232,839.7
981.072,870.7
981.942,833.2
982.775,787.1
983.563,801.2
984.364,839.4
985.203,845.4
986.049,1552.2
987.601,756.0
988.357,792.4
989.149,845.7
989.995,860.5
990.855,817.9
991.673,789.2
992.462,806.9
993.269,873.6
994.143,847.5
994.990,799.9
995.790,765.6
996.556,797.2
997.353,836.7
998.190,844.6
999.034,796.0
999.830,769.0
1000.599,825.1
1001.424,880.6
1002.305,858.6
1003.164,797.2
1003.961,789.3
1004.750,827.1
1005.577,853.8
1006.431,820.1
1007.251,774.2
1008.025,765.8
1008.791,829.5
1009.621,860.3
1010.481,829.9
1011.311,795.1
1012.106,798.4
1012.904,847.8
1013.752,865.9
1014.618,815.8
1015.434,766.0
1016.200,776.3
1016.976,828.7
1017.805,854.6
1018.659,822.5
1019.482,772.6
1020.254,807.3
1021.062,861.8
1021.923,876.0
1022.799,820.5
1023.620,781.4
1024.401,796.2
1025.198,845.1
1026.043,833.9
1026.877,795.3
1027.672,760.9
1028.433,802.7
1029.235,848.2
1030.084,879.0
1030.963,812.8
1031.775,784.3
1032.560,823.4
1033.383,872.6
1034.256,844.0
1035.100,789.3
1035.889,763.9
1036.653,813.1
1037.466,844.5
1038.311,822.9
1039.133,780.6
1039.914,783.3
1040.697,831.6
1041.529,876.2
1042.405,859.1
1043.264,800.8
1044.065,784.7
1044.850,831.3
1045.681,848.8
1046.530,819.8
1047.350,773.9
1048.123,791.7
1048.915,844.4
1049.760,864.7
1050.624,824.7
1051.449,795.7
1052.245,818.2
1053.063,857.5
1053.920,873.1
1054.794,808.2
1055.602,771.2
1056.373,792.6
1057.166,848.6
1058.014,844.1
1058.858,798.6
1059.657,764.4
1060.421,815.2
1061.236,873.3
1062.110,864.0
1062.974,812.0
1063.786,781.5
1064.567,821.1
1065.388,859.8
1066.248,840.0
1067.088,770.7
1067.859,766.7
1068.626,800.8
1069.426,859.4
1070.286,857.1
1071.143,804.2
1071.947,791.9
1072.739,846.0
1073.585,874.8
1074.460,839.8
1075.300,782.5
1076.082,766.9
1076.849,827.1
1077.676,870.4
1078.547,814.3
1079.361,780.3
1080.141,795.5
1080.937,852.8
1081.790,875.1
1082.665,821.8
1083.486,796.9
1084.283,796.0
1085.079,835.1
1085.914,853.5
1086.768,802.2
1087.570,760.9
1088.331,784.2
1089.115,851.3
1089.967,857.8
1090.824,814.1
1091.638,787.1
1092.426,826.0
1093.252,866.6
1094.118,852.6
1094.971,796.8
1095.768,767.5
1096.535,800.2
1097.335,842.3
1098.178,842.7
1099.020,803.5
1099.824,772.5
1100.596,823.6
1101.420,865.2
1102.285,868.2
1103.153,805.2
1103.959,783.5
1104.742,829.5
1105.572,853.7
1106.425,822.7
1107.248,765.6
1108.014,766.2
1108.780,824.0
1109.604,865.4
1110.469,843.2
1111.312,804.9
1112.117,800.1
1112.917,850.5
1113.768,863.5
1114.632,822.5
1115.454,775.5
1116.230,765.1
1116.995,826.3
1117.821,856.3
1118.677,815.4
1119.493,782.3
1120.275,806.2
1121.081,852.8
1121.934,892.0
1122.826,823.5
1123.649,785.1
1124.435,819.8
1125.254,843.0
1126.097,845.2
1126.943,786.5
1127.729,770.8
1128.500,797.0
1129.297,856.5
1130.153,851.8
1131.005,803.7
1131.809,799.1
1132.608,837.7
1133.446,855.4
1134.301,852.4
1135.154,787.2
1135.941,766.8
1136.708,803.6
1137.511,851.6
1138.363,828.7
1139.191,782.7
1139.974,782.5
1140.757,828.2
1141.585,895.0
1142.480,847.0
1143.327,799.3
1144.126,798.8
1144.925,848.9
1145.774,870.4
1146.644,799.5
1147.444,757.3
1148.201,773.2
1148.974,841.5
1149.816,863.2
1150.679,839.6
1151.519,797.5
1152.316,817.3
1153.134,855.5
1153.989,860.6
1154.850,798.1
1155.648,774.0
1156.422,792.1
1157.214,839.0
1158.053,851.9
1158.905,800.7
1159.706,775.7
1160.481,810.3
1161.292,866.6
1162.158,864.6
1163.023,795.3
1163.818,767.5
1164.585,816.6
1165.402,869.0
1166.271,832.9
1167.104,764.1
1167.868,756.3
1168.624,818.6
1169.443,863.1
1170.306,849.6
1171.156,800.8
1171.956,793.9
1172.750,841.0
1173.591,881.2
1174.472,827.1
1175.300,779.7
1176.079,771.7
1176.851,826.9
1177.678,857.1
1178.535,821.3
1179.356,779.8
1180.136,796.8
1180.933,860.2
1181.793,889.6
1182.683,830.8
1183.513,780.8
1184.294,799.8
1185.094,835.9
1185.930,862.8
1186.793,787.6
1187.580,755.7
1188.336,777.2
1189.113,846.4
1189.960,863.1
1190.823,821.8
1191.644,774.0
1192.418,810.7
1193.229,859.7
1194.089,864.9
1194.954,793.8
1195.748,768.7
1196.516,808.2
1197.324,860.5
1198.185,844.7
1199.030,788.8
1199.818,775.0
1200.594,833.6
