start_time,end_time,step_count
2026-08-10 11:10:00.000,2026-08-10 11:20:00.000,68
2026-08-10 11:20:00.000,2026-08-10 11:30:00.000,42
2026-08-10 11:30:00.000,2026-08-10 11:40:00.000,27
2026-08-10 11:40:00.000,2026-08-10 11:50:00.000,20
2026-08-10 11:50:00.000,2026-08-10 12:00:00.000,12
2026-08-10 12:00:00.000,2026-08-10 12:10:00.000,141
2026-08-10 12:10:00.000,2026-08-10 12:20:00.000,205
2026-08-10 12:20:00.000,2026-08-10 12:30:00.000,172
2026-08-10 12:30:00.000,2026-08-10 12:40:00.000,174
2026-08-10 12:40:00.000,2026-08-10 12:50:00.000,160
2026-08-10 12:50:00.000,2026-08-10 13:00:00.000,250
2026-08-10 13:00:00.000,2026-08-10 13:10:00.000,50
2026-08-10 13:10:00.000,2026-08-10 13:20:00.000,74
2026-08-10 13:20:00.000,2026-08-10 13:30:00.000,74
2026-08-10 13:30:00.000,2026-08-10 13:40:00.000,78
2026-08-10 13:40:00.000,2026-08-10 13:50:00.000,76
2026-08-10 13:50:00.000,2026-08-10 14:00:00.000,36
2026-08-10 14:00:00.000,2026-08-10 14:10:00.000,38
2026-08-10 14:10:00.000,2026-08-10 14:20:00.000,80
2026-08-10 14:20:00.000,2026-08-10 14:30:00.000,30
2026-08-10 14:30:00.000,2026-08-10 14:40:00.000,32
2026-08-10 14:40:00.000,2026-08-10 14:50:00.000,70
2026-08-10 14:50:00.000,2026-08-10 15:00:00.000,29
2026-08-10 15:00:00.000,2026-08-10 15:10:00.000,84
2026-08-10 15:10:00.000,2026-08-10 15:20:00.000,32
2026-08-10 15:20:00.000,2026-08-10 15:30:00.000,68
2026-08-10 15:30:00.000,2026-08-10 15:40:00.000,35
2026-08-10 15:40:00.000,2026-08-10 15:50:00.000,36
2026-08-10 15:50:00.000,2026-08-10 16:00:00.000,28
2026-08-10 16:00:00.000,2026-08-10 16:10:00.000,22
2026-08-10 16:10:00.000,2026-08-10 16:20:00.000,66
2026-08-10 16:20:00.000,2026-08-10 16:30:00.000,60
2026-08-10 16:30:00.000,2026-08-10 16:40:00.000,29
2026-08-10 16:40:00.000,2026-08-10 16:50:00.000,60
2026-08-10 16:50:00.000,2026-08-10 17:00:00.000,56
2026-08-10 17:00:00.000,2026-08-10 17:10:00.000,88
2026-08-10 17:10:00.000,2026-08-10 17:20:00.000,27
2026-08-10 17:20:00.000,2026-08-10 17:30:00.000,22
2026-08-10 17:30:00.000,2026-08-10 17:40:00.000,70
2026-08-10 17:40:00.000,2026-08-10 17:50:00.000,80
2026-08-10 17:50:00.000,2026-08-10 18:00:00.000,38
2026-08-10 18:00:00.000,2026-08-10 18:10:00.000,47
2026-08-10 18:10:00.000,2026-08-10 18:20:00.000,17
2026-08-10 18:20:00.000,2026-08-10 18:30:00.000,21
2026-08-10 18:30:00.000,2026-08-10 18:40:00.000,295
2026-08-10 18:40:00.000,2026-08-10 18:50:00.000,315
2026-08-10 18:50:00.000,2026-08-10 19:00:00.000,201
2026-08-10 19:00:00.000,2026-08-10 19:10:00.000,332
2026-08-10 19:10:00.000,2026-08-10 19:20:00.000,331
2026-08-10 19:20:00.000,2026-08-10 19:30:00.000,366
2026-08-10 19:30:00.000,2026-08-10 19:40:00.000,88
2026-08-10 19:40:00.000,2026-08-10 19:50:00.000,68
2026-08-10 19:50:00.000,2026-08-10 20:00:00.000,70
2026-08-10 20:00:00.000,2026-08-10 20:10:00.000,48
2026-08-10 20:10:00.000,2026-08-10 20:20:00.000,56
2026-08-10 20:20:00.000,2026-08-10 20:30:00.000,28
2026-08-10 20:30:00.000,2026-08-10 20:40:00.000,44
2026-08-10 20:40:00.000,2026-08-10 20:50:00.000,89
2026-08-10 20:50:00.000,2026-08-10 21:00:00.000,87
2026-08-10 21:00:00.000,2026-08-10 21:10:00.000,34
2026-08-10 21:10:00.000,2026-08-10 21:20:00.000,63
2026-08-10 21:20:00.000,2026-08-10 21:30:00.000,36
2026-08-10 21:30:00.000,2026-08-10 21:40:00.000,33
2026-08-10 21:40:00.000,2026-08-10 21:50:00.000,44
2026-08-10 21:50:00.000,2026-08-10 22:00:00.000,63
2026-08-10 22:00:00.000,2026-08-10 22:10:00.000,58
2026-08-10 22:10:00.000,2026-08-10 22:20:00.000,41
2026-08-10 22:20:00.000,2026-08-10 22:30:00.000,15
2026-08-10 22:30:00.000,2026-08-10 22:40:00.000,90
2026-08-10 22:40:00.000,2026-08-10 22:50:00.000,14
2026-08-10 22:50:00.000,2026-08-10 23:00:00.000,47
2026-08-10 23:00:00.000,2026-08-10 23:10:00.000,5
2026-08-10 23:10:00.000,2026-08-10 23:20:00.000,6
2026-08-10 23:20:00.000,2026-08-10 23:30:00.000,2
2026-08-10 23:30:00.000,2026-08-10 23:40:00.000,11
2026-08-10 23:40:00.000,2026-08-10 23:50:00.000,10
2026-08-10 23:50:00.000,2026-08-11 00:00:00.000,2
2026-08-11 00:00:00.000,2026-08-11 00:10:00.000,13
2026-08-11 00:10:00.000,2026-08-11 00:20:00.000,29
2026-08-11 00:20:00.000,2026-08-11 00:30:00.000,26
2026-08-11 00:30:00.000,2026-08-11 00:40:00.000,23
2026-08-11 00:40:00.000,2026-08-11 00:50:00.000,6
2026-08-11 00:50:00.000,2026-08-11 01:00:00.000,7
2026-08-11 01:00:00.000,2026-08-11 01:10:00.000,26
2026-08-11 01:10:00.000,2026-08-11 01:20:00.000,0
2026-08-11 01:20:00.000,2026-08-11 01:30:00.000,0
2026-08-11 01:30:00.000,2026-08-11 01:40:00.000,0
2026-08-11 01:40:00.000,2026-08-11 01:50:00.000,0
2026-08-11 01:50:00.000,2026-08-11 02:00:00.000,0
2026-08-11 02:00:00.000,2026-08-11 02:10:00.000,0
2026-08-11 02:10:00.000,2026-08-11 02:20:00.000,0
2026-08-11 02:20:00.000,2026-08-11 02:30:00.000,0
2026-08-11 02:30:00.000,2026-08-11 02:40:00.000,0
2026-08-11 02:40:00.000,2026-08-11 02:50:00.000,0
2026-08-11 02:50:00.000,2026-08-11 03:00:00.000,0
2026-08-11 03:00:00.000,2026-08-11 03:10:00.000,0
2026-08-11 03:10:00.000,2026-08-11 03:20:00.000,0
2026-08-11 03:20:00.000,2026-08-11 03:30:00.000,0
2026-08-11 03:30:00.000,2026-08-11 03:40:00.000,0
2026-08-11 03:40:00.000,2026-08-11 03:50:00.000,0
2026-08-11 03:50:00.000,2026-08-11 04:00:00.000,0
2026-08-11 04:00:00.000,2026-08-11 04:10:00.000,0
2026-08-11 04:10:00.000,2026-08-11 04:20:00.000,0
2026-08-11 04:20:00.000,2026-08-11 04:30:00.000,0
2026-08-11 04:30:00.000,2026-08-11 04:40:00.000,0
2026-08-11 04:40:00.000,2026-08-11 04:50:00.000,0
2026-08-11 04:50:00.000,2026-08-11 05:00:00.000,0
2026-08-11 05:00:00.000,2026-08-11 05:10:00.000,0
2026-08-11 05:10:00.000,2026-08-11 05:20:00.000,0
2026-08-11 05:20:00.000,2026-08-11 05:30:00.000,0
2026-08-11 05:30:00.000,2026-08-11 05:40:00.000,0
2026-08-11 05:40:00.000,2026-08-11 05:50:00.000,0
2026-08-11 05:50:00.000,2026-08-11 06:00:00.000,0
2026-08-11 06:00:00.000,2026-08-11 06:10:00.000,0
2026-08-11 06:10:00.000,2026-08-11 06:20:00.000,0
2026-08-11 06:20:00.000,2026-08-11 06:30:00.000,0
2026-08-11 06:30:00.000,2026-08-11 06:40:00.000,0
2026-08-11 06:40:00.000,2026-08-11 06:50:00.000,0
2026-08-11 06:50:00.000,2026-08-11 07:00:00.000,0
2026-08-11 07:00:00.000,2026-08-11 07:10:00.000,0
2026-08-11 07:10:00.000,2026-08-11 07:20:00.000,0
2026-08-11 07:20:00.000,2026-08-11 07:30:00.000,0
2026-08-11 07:30:00.000,2026-08-11 07:40:00.000,0
2026-08-11 07:40:00.000,2026-08-11 07:50:00.000,0
2026-08-11 07:50:00.000,2026-08-11 08:00:00.000,0
2026-08-11 08:00:00.000,2026-08-11 08:10:00.000,0
2026-08-11 08:10:00.000,2026-08-11 08:20:00.000,0
2026-08-11 08:20:00.000,2026-08-11 08:30:00.000,0
2026-08-11 08:30:00.000,2026-08-11 08:40:00.000,0
2026-08-11 08:40:00.000,2026-08-11 08:50:00.000,845
2026-08-11 08:50:00.000,2026-08-11 09:00:00.000,700
2026-08-11 09:00:00.000,2026-08-11 09:10:00.000,25
2026-08-11 09:10:00.000,2026-08-11 09:20:00.000,202
2026-08-11 09:20:00.000,2026-08-11 09:30:00.000,88
2026-08-11 09:30:00.000,2026-08-11 09:40:00.000,60
2026-08-11 09:40:00.000,2026-08-11 09:50:00.000,133
2026-08-11 09:50:00.000,2026-08-11 10:00:00.000,161
2026-08-11 15:00:00.000,2026-08-11 15:10:00.000,146
2026-08-11 15:10:00.000,2026-08-11 15:20:00.000,65
2026-08-11 15:20:00.000,2026-08-11 15:30:00.000,70
2026-08-11 15:30:00.000,2026-08-11 15:40:00.000,101
2026-08-11 15:40:00.000,2026-08-11 15:50:00.000,97
2026-08-11 15:50:00.000,2026-08-11 16:00:00.000,62
2026-08-11 16:00:00.000,2026-08-11 16:10:00.000,144
2026-08-11 16:10:00.000,2026-08-11 16:20:00.000,130
2026-08-11 16:20:00.000,2026-08-11 16:30:00.000,215
2026-08-11 16:30:00.000,2026-08-11 16:40:00.000,82
2026-08-11 16:40:00.000,2026-08-11 16:50:00.000,192
2026-08-11 16:50:00.000,2026-08-11 17:00:00.000,78
2026-08-11 17:00:00.000,2026-08-11 17:10:00.000,169
2026-08-11 17:10:00.000,2026-08-11 17:20:00.000,203
2026-08-11 17:20:00.000,2026-08-11 17:30:00.000,169
2026-08-11 17:30:00.000,2026-08-11 17:40:00.000,144
2026-08-11 17:40:00.000,2026-08-11 17:50:00.000,36
2026-08-11 17:50:00.000,2026-08-11 18:00:00.000,83
2026-08-11 18:00:00.000,2026-08-11 18:10:00.000,152
2026-08-11 18:10:00.000,2026-08-11 18:20:00.000,124
2026-08-11 18:20:00.000,2026-08-11 18:30:00.000,188
2026-08-11 18:30:00.000,2026-08-11 18:40:00.000,787
2026-08-11 18:40:00.000,2026-08-11 18:50:00.000,623
2026-08-11 18:50:00.000,2026-08-11 19:00:00.000,767
2026-08-11 19:00:00.000,2026-08-11 19:10:00.000,508
2026-08-11 19:10:00.000,2026-08-11 19:20:00.000,530
2026-08-11 19:20:00.000,2026-08-11 19:30:00.000,835
2026-08-11 19:30:00.000,2026-08-11 19:40:00.000,26
2026-08-11 19:40:00.000,2026-08-11 19:50:00.000,173
2026-08-11 19:50:00.000,2026-08-11 20:00:00.000,149
2026-08-11 20:00:00.000,2026-08-11 20:10:00.000,115
2026-08-11 20:10:00.000,2026-08-11 20:20:00.000,52
2026-08-11 20:20:00.000,2026-08-11 20:30:00.000,143
2026-08-11 20:30:00.000,2026-08-11 20:40:00.000,191
2026-08-11 20:40:00.000,2026-08-11 20:50:00.000,113
2026-08-11 20:50:00.000,2026-08-11 21:00:00.000,152
2026-08-11 21:00:00.000,2026-08-11 21:10:00.000,65
2026-08-11 21:10:00.000,2026-08-11 21:20:00.000,211
2026-08-11 21:20:00.000,2026-08-11 21:30:00.000,90
2026-08-11 21:30:00.000,2026-08-11 21:40:00.000,132
2026-08-11 21:40:00.000,2026-08-11 21:50:00.000,84
2026-08-11 21:50:00.000,2026-08-11 22:00:00.000,215
2026-08-11 22:00:00.000,2026-08-11 22:10:00.000,194
2026-08-11 22:10:00.000,2026-08-11 22:20:00.000,164
2026-08-11 22:20:00.000,2026-08-11 22:30:00.000,103
2026-08-11 22:30:00.000,2026-08-11 22:40:00.000,83
2026-08-11 22:40:00.000,2026-08-11 22:50:00.000,55
2026-08-11 22:50:00.000,2026-08-11 23:00:00.000,145
2026-08-11 23:00:00.000,2026-08-11 23:10:00.000,1
2026-08-11 23:10:00.000,2026-08-11 23:20:00.000,23
2026-08-11 23:20:00.000,2026-08-11 23:30:00.000,16
2026-08-11 23:30:00.000,2026-08-11 23:40:00.000,30
2026-08-11 23:40:00.000,2026-08-11 23:50:00.000,20
2026-08-11 23:50:00.000,2026-08-12 00:00:00.000,28
2026-08-12 00:00:00.000,2026-08-12 00:10:00.000,5
2026-08-12 00:10:00.000,2026-08-12 00:20:00.000,4
2026-08-12 00:20:00.000,2026-08-12 00:30:00.000,0
2026-08-12 00:30:00.000,2026-08-12 00:40:00.000,10
2026-08-12 00:40:00.000,2026-08-12 00:50:00.000,8
2026-08-12 00:50:00.000,2026-08-12 01:00:00.000,11
2026-08-12 01:00:00.000,2026-08-12 01:10:00.000,11
2026-08-12 01:10:00.000,2026-08-12 01:20:00.000,15
2026-08-12 01:20:00.000,2026-08-12 01:30:00.000,15
2026-08-12 01:30:00.000,2026-08-12 01:40:00.000,11
2026-08-12 01:40:00.000,2026-08-12 01:50:00.000,13
2026-08-12 01:50:00.000,2026-08-12 02:00:00.000,16
2026-08-12 02:00:00.000,2026-08-12 02:10:00.000,8
2026-08-12 02:10:00.000,2026-08-12 02:20:00.000,5
2026-08-12 02:20:00.000,2026-08-12 02:30:00.000,11
2026-08-12 02:30:00.000,2026-08-12 02:40:00.000,18
2026-08-12 02:40:00.000,2026-08-12 02:50:00.000,16
2026-08-12 02:50:00.000,2026-08-12 03:00:00.000,4
2026-08-12 03:00:00.000,2026-08-12 03:10:00.000,0
2026-08-12 03:10:00.000,2026-08-12 03:20:00.000,0
2026-08-12 03:20:00.000,2026-08-12 03:30:00.000,0
2026-08-12 03:30:00.000,2026-08-12 03:40:00.000,0
2026-08-12 03:40:00.000,2026-08-12 03:50:00.000,0
2026-08-12 03:50:00.000,2026-08-12 04:00:00.000,0
2026-08-12 04:00:00.000,2026-08-12 04:10:00.000,0
2026-08-12 04:10:00.000,2026-08-12 04:20:00.000,0
2026-08-12 04:20:00.000,2026-08-12 04:30:00.000,0
2026-08-12 04:30:00.000,2026-08-12 04:40:00.000,0
2026-08-12 04:40:00.000,2026-08-12 04:50:00.000,0
2026-08-12 04:50:00.000,2026-08-12 05:00:00.000,0
2026-08-12 05:00:00.000,2026-08-12 05:10:00.000,0
2026-08-12 05:10:00.000,2026-08-12 05:20:00.000,0
2026-08-12 05:20:00.000,2026-08-12 05:30:00.000,0
2026-08-12 05:30:00.000,2026-08-12 05:40:00.000,0
2026-08-12 05:40:00.000,2026-08-12 05:50:00.000,0
2026-08-12 05:50:00.000,2026-08-12 06:00:00.000,0
2026-08-12 06:00:00.000,2026-08-12 06:10:00.000,0
2026-08-12 06:10:00.000,2026-08-12 06:20:00.000,0
2026-08-12 06:20:00.000,2026-08-12 06:30:00.000,0
2026-08-12 06:30:00.000,2026-08-12 06:40:00.000,6
2026-08-12 06:40:00.000,2026-08-12 06:50:00.000,1
2026-08-12 06:50:00.000,2026-08-12 07:00:00.000,12
2026-08-12 07:00:00.000,2026-08-12 07:10:00.000,99
2026-08-12 07:10:00.000,2026-08-12 07:20:00.000,106
2026-08-12 07:20:00.000,2026-08-12 07:30:00.000,117
2026-08-12 07:30:00.000,2026-08-12 07:40:00.000,80
2026-08-12 07:40:00.000,2026-08-12 07:50:00.000,81
2026-08-12 07:50:00.000,2026-08-12 08:00:00.000,67
2026-08-12 08:00:00.000,2026-08-12 08:10:00.000,404
2026-08-12 08:10:00.000,2026-08-12 08:20:00.000,360
2026-08-12 08:20:00.000,2026-08-12 08:30:00.000,379
2026-08-12 08:30:00.000,2026-08-12 08:40:00.000,479
2026-08-12 08:40:00.000,2026-08-12 08:50:00.000,405
2026-08-12 08:50:00.000,2026-08-12 09:00:00.000,496
2026-08-12 09:00:00.000,2026-08-12 09:10:00.000,85
2026-08-12 09:10:00.000,2026-08-12 09:20:00.000,121
2026-08-12 09:20:00.000,2026-08-12 09:30:00.000,48
2026-08-12 09:30:00.000,2026-08-12 09:40:00.000,48
2026-08-12 09:40:00.000,2026-08-12 09:50:00.000,59
2026-08-12 09:50:00.000,2026-08-12 10:00:00.000,15
2026-08-12 10:00:00.000,2026-08-12 10:10:00.000,29
2026-08-12 10:10:00.000,2026-08-12 10:20:00.000,31
2026-08-12 10:20:00.000,2026-08-12 10:30:00.000,47
2026-08-12 10:30:00.000,2026-08-12 10:40:00.000,115
2026-08-12 10:40:00.000,2026-08-12 10:50:00.000,68
2026-08-12 10:50:00.000,2026-08-12 11:00:00.000,125
2026-08-12 11:00:00.000,2026-08-12 11:10:00.000,24
2026-08-12 11:10:00.000,2026-08-12 11:20:00.000,17
2026-08-12 11:20:00.000,2026-08-12 11:30:00.000,24
2026-08-12 11:30:00.000,2026-08-12 11:40:00.000,119
2026-08-12 11:40:00.000,2026-08-12 11:50:00.000,85
2026-08-12 11:50:00.000,2026-08-12 12:00:00.000,95
2026-08-12 12:00:00.000,2026-08-12 12:10:00.000,230
2026-08-12 12:10:00.000,2026-08-12 12:20:00.000,196
2026-08-12 12:20:00.000,2026-08-12 12:30:00.000,229
2026-08-12 12:30:00.000,2026-08-12 12:40:00.000,296
2026-08-12 12:40:00.000,2026-08-12 12:50:00.000,323
2026-08-12 12:50:00.000,2026-08-12 13:00:00.000,328
2026-08-12 13:00:00.000,2026-08-12 13:10:00.000,17
2026-08-12 13:10:00.000,2026-08-12 13:20:00.000,48
2026-08-12 13:20:00.000,2026-08-12 13:30:00.000,100
2026-08-12 13:30:00.000,2026-08-12 13:40:00.000,55
2026-08-12 13:40:00.000,2026-08-12 13:50:00.000,71
2026-08-12 13:50:00.000,2026-08-12 14:00:00.000,74
2026-08-12 14:00:00.000,2026-08-12 14:10:00.000,0
2026-08-12 14:10:00.000,2026-08-12 14:20:00.000,0
2026-08-12 14:20:00.000,2026-08-12 14:30:00.000,0
2026-08-12 14:30:00.000,2026-08-12 14:40:00.000,0
2026-08-12 14:40:00.000,2026-08-12 14:50:00.000,0
2026-08-12 14:50:00.000,2026-08-12 15:00:00.000,0
2026-08-12 15:00:00.000,2026-08-12 15:10:00.000,0
2026-08-12 15:10:00.000,2026-08-12 15:20:00.000,108
2026-08-12 15:20:00.000,2026-08-12 15:30:00.000,100
2026-08-12 15:30:00.000,2026-08-12 15:40:00.000,35
2026-08-12 15:40:00.000,2026-08-12 15:50:00.000,41
2026-08-12 15:50:00.000,2026-08-12 16:00:00.000,69
2026-08-12 16:00:00.000,2026-08-12 16:10:00.000,24
2026-08-12 16:10:00.000,2026-08-12 16:20:00.000,36
2026-08-12 16:20:00.000,2026-08-12 16:30:00.000,108
2026-08-12 16:30:00.000,2026-08-12 16:40:00.000,58
2026-08-12 16:40:00.000,2026-08-12 16:50:00.000,115
2026-08-12 16:50:00.000,2026-08-12 17:00:00.000,22
2026-08-12 17:00:00.000,2026-08-12 17:10:00.000,78
2026-08-12 17:10:00.000,2026-08-12 17:20:00.000,122
2026-08-12 17:20:00.000,2026-08-12 17:30:00.000,27
2026-08-12 17:30:00.000,2026-08-12 17:40:00.000,40
2026-08-12 17:40:00.000,2026-08-12 17:50:00.000,104
2026-08-12 17:50:00.000,2026-08-12 18:00:00.000,22
2026-08-12 18:00:00.000,2026-08-12 18:10:00.000,48
2026-08-12 18:10:00.000,2026-08-12 18:20:00.000,122
2026-08-12 18:20:00.000,2026-08-12 18:30:00.000,91
2026-08-12 18:30:00.000,2026-08-12 18:40:00.000,309
2026-08-12 18:40:00.000,2026-08-12 18:50:00.000,305
2026-08-12 18:50:00.000,2026-08-12 19:00:00.000,328
2026-08-12 19:00:00.000,2026-08-12 19:10:00.000,286
2026-08-12 19:10:00.000,2026-08-12 19:20:00.000,301
2026-08-12 19:20:00.000,2026-08-12 19:30:00.000,444
2026-08-12 19:30:00.000,2026-08-12 19:40:00.000,113
2026-08-12 19:40:00.000,2026-08-12 19:50:00.000,126
2026-08-12 19:50:00.000,2026-08-12 20:00:00.000,60
2026-08-12 20:00:00.000,2026-08-12 20:10:00.000,74
2026-08-12 20:10:00.000,2026-08-12 20:20:00.000,18
2026-08-12 20:20:00.000,2026-08-12 20:30:00.000,85
2026-08-12 20:30:00.000,2026-08-12 20:40:00.000,18
2026-08-12 20:40:00.000,2026-08-12 20:50:00.000,51
2026-08-12 20:50:00.000,2026-08-12 21:00:00.000,32
2026-08-12 21:00:00.000,2026-08-12 21:10:00.000,126
2026-08-12 21:10:00.000,2026-08-12 21:20:00.000,48
2026-08-12 21:20:00.000,2026-08-12 21:30:00.000,71
2026-08-12 21:30:00.000,2026-08-12 21:40:00.000,24
2026-08-12 21:40:00.000,2026-08-12 21:50:00.000,86
2026-08-12 21:50:00.000,2026-08-12 22:00:00.000,120
2026-08-12 22:00:00.000,2026-08-12 22:10:00.000,105
2026-08-12 22:10:00.000,2026-08-12 22:20:00.000,99
2026-08-12 22:20:00.000,2026-08-12 22:30:00.000,52
2026-08-12 22:30:00.000,2026-08-12 22:40:00.000,86
2026-08-12 22:40:00.000,2026-08-12 22:50:00.000,32
2026-08-12 22:50:00.000,2026-08-12 23:00:00.000,37
2026-08-12 23:00:00.000,2026-08-12 23:10:00.000,10
2026-08-12 23:10:00.000,2026-08-12 23:20:00.000,1
2026-08-12 23:20:00.000,2026-08-12 23:30:00.000,1
2026-08-12 23:30:00.000,2026-08-12 23:40:00.000,11
2026-08-12 23:40:00.000,2026-08-12 23:50:00.000,16
2026-08-12 23:50:00.000,2026-08-13 00:00:00.000,12
2026-08-13 00:00:00.000,2026-08-13 00:10:00.000,25
2026-08-13 00:10:00.000,2026-08-13 00:20:00.000,18
2026-08-13 00:20:00.000,2026-08-13 00:30:00.000,23
2026-08-13 00:30:00.000,2026-08-13 00:40:00.000,25
2026-08-13 00:40:00.000,2026-08-13 00:50:00.000,16
2026-08-13 00:50:00.000,2026-08-13 01:00:00.000,9
2026-08-13 01:00:00.000,2026-08-13 01:10:00.000,0
2026-08-13 01:10:00.000,2026-08-13 01:20:00.000,0
2026-08-13 01:20:00.000,2026-08-13 01:30:00.000,0
2026-08-13 01:30:00.000,2026-08-13 01:40:00.000,0
2026-08-13 01:40:00.000,2026-08-13 01:50:00.000,0
2026-08-13 01:50:00.000,2026-08-13 02:00:00.000,0
2026-08-13 02:00:00.000,2026-08-13 02:10:00.000,0
2026-08-13 02:10:00.000,2026-08-13 02:20:00.000,0
2026-08-13 02:20:00.000,2026-08-13 02:30:00.000,0
2026-08-13 02:30:00.000,2026-08-13 02:40:00.000,0
2026-08-13 02:40:00.000,2026-08-13 02:50:00.000,0
2026-08-13 02:50:00.000,2026-08-13 03:00:00.000,0
2026-08-13 03:00:00.000,2026-08-13 03:10:00.000,0
2026-08-13 03:10:00.000,2026-08-13 03:20:00.000,0
2026-08-13 03:20:00.000,2026-08-13 03:30:00.000,0
2026-08-13 03:30:00.000,2026-08-13 03:40:00.000,0
2026-08-13 03:40:00.000,2026-08-13 03:50:00.000,0
2026-08-13 03:50:00.000,2026-08-13 04:00:00.000,0
2026-08-13 04:00:00.000,2026-08-13 04:10:00.000,0
2026-08-13 04:10:00.000,2026-08-13 04:20:00.000,0
2026-08-13 04:20:00.000,2026-08-13 04:30:00.000,0
2026-08-13 04:30:00.000,2026-08-13 04:40:00.000,0
2026-08-13 04:40:00.000,2026-08-13 04:50:00.000,0
2026-08-13 04:50:00.000,2026-08-13 05:00:00.000,0
2026-08-13 05:00:00.000,2026-08-13 05:10:00.000,0
2026-08-13 05:10:00.000,2026-08-13 05:20:00.000,0
2026-08-13 05:20:00.000,2026-08-13 05:30:00.000,0
2026-08-13 05:30:00.000,2026-08-13 05:40:00.000,0
